['13', '432', '466', '449', '407', '412', '198', '478', '1', '103', '185', '429', '22', '359', '246', '180', '11', '228', '492', '8', '416', '241', '267', '190', '9']
['179', '351', '73', '93', '428', '292', '459', '479', '348', '40', '319', '420', '212', '389', '131', '16', '454', '153', '254', '123', '129', '425', '415', '70', '150']
['84', '475', '433', '250', '166', '206', '261', '96', '251', '47', '354', '114', '290', '145', '95', '352', '470', '370', '427', '151', '85', '312', '128', '373', '367']
['48', '321', '30', '380', '282', '361', '480', '337', '170', '116', '408', '200', '247', '106', '371', '313', '68', '285', '223', '136', '398', '184', '295', '452', '365']
['386', '35', '134', '419', '5', '77', '274', '396', '59', '390', '446', '458', '195', '132', '149', '52', '139', '339', '426', '81', '201', '498', '305', '97', '204']
['471', '400', '383', '233', '210', '19', '90', '473', '220', '219', '168', '430', '349', '164', '58', '286', '122', '121', '437', '42', '417', '234', '27', '173', '71']
['255', '236', '462', '252', '472', '332', '256', '66', '303', '484', '405', '489', '72', '467', '50', '344', '476', '172', '401', '21', '25', '24', '69', '28', '67']
['41', '226', '283', '187', '393', '80', '392', '297', '362', '207', '265', '341', '79', '399', '89', '177', '483', '411', '482', '161', '74', '384', '499', '457', '171']
['115', '440', '100', '31', '278', '276', '288', '196', '215', '76', '104', '331', '306', '363', '124', '335', '253', '62', '316', '33', '494', '61', '493', '391', '441']
['224', '269', '138', '418', '49', '326', '439', '410', '468', '456', '7', '108', '497', '221', '75', '209', '304', '434', '231', '217', '211', '350', '15', '88', '488']
['165', '117', '4', '155', '142', '156', '214', '160', '146', '162', '3', '39', '192', '227', '485', '130', '113', '320', '249', '291', '366', '188', '82', '281', '376']
['208', '465', '308', '275', '496', '245', '259', '126', '311', '63', '314', '65', '112', '98', '92', '486', '271', '83', '451', '317', '111', '133', '461', '36', '43']
['125', '450', '474', '443', '46', '413', '287', '284', '495', '127', '14', '202', '159', '318', '374', '99', '78', '53', '222', '157', '422', '273', '29', '355', '353']
['342', '32', '213', '20', '356', '394', '237', '248', '183', '327', '343', '357', '272', '409', '182', '289', '135', '230', '414', '347', '119', '137', '87', '37', '54']
['186', '38', '56', '169', '193', '257', '388', '487', '333', '55', '369', '491', '358', '0', '375', '218', '444', '147', '17', '300', '302', '445', '266', '324', '325']
['107', '181', '174', '385', '243', '406', '2', '18', '377', '477', '94', '294', '372', '141', '197', '346', '293', '277', '323', '158', '421', '238', '239', '260', '301']
['45', '387', '110', '330', '322', '175', '91', '340', '268', '460', '229', '51', '298', '163', '379', '455', '167', '296', '216', '397', '364', '86', '118', '140', '464']
['178', '279', '329', '280', '469', '109', '481', '143', '404', '148', '263', '442', '6', '176', '194', '120', '270', '264', '395', '334', '403', '431', '102', '189', '10']
['345', '309', '307', '34', '105', '299', '144', '360', '453', '447', '448', '235', '381', '258', '328', '336', '436', '310', '368', '315', '402', '423', '12', '225', '154']
['438', '203', '244', '338', '378', '60', '26', '242', '240', '463', '199', '262', '101', '64', '23', '205', '435', '191', '490', '152', '44', '424', '382', '57', '232']
