['798', '925', '596', '767', '794', '514', '801', '116', '478', '31', '379', '998', '348', '854', '362', '636', '131', '812', '873', '211']
['218', '546', '532', '462', '795', '479', '434', '35', '22', '496', '568', '628', '369', '335', '619', '944', '553', '955', '564', '133']
['877', '157', '863', '768', '54', '560', '398', '799', '819', '183', '696', '540', '420', '69', '464', '901', '912', '800', '84', '137']
['136', '342', '437', '739', '905', '975', '902', '971', '552', '954', '671', '85', '789', '667', '96', '253', '448', '988', '297', '343']
['726', '291', '521', '896', '940', '71', '33', '928', '721', '160', '310', '242', '603', '494', '146', '487', '324', '742', '840', '563']
['109', '2', '426', '911', '104', '868', '350', '773', '191', '570', '991', '939', '124', '41', '689', '849', '257', '234', '282', '524']
['567', '743', '182', '624', '542', '7', '917', '716', '299', '280', '161', '248', '715', '910', '465', '919', '404', '599', '202', '433']
['551', '436', '407', '409', '302', '846', '307', '110', '526', '83', '287', '969', '786', '323', '389', '467', '981', '815', '973', '431']
['790', '691', '255', '331', '359', '942', '492', '735', '607', '281', '112', '29', '774', '755', '205', '417', '471', '665', '176', '732']
['994', '27', '484', '558', '722', '630', '39', '648', '523', '179', '631', '982', '201', '266', '403', '308', '340', '42', '688', '56']
['913', '556', '286', '482', '673', '657', '493', '490', '290', '718', '318', '895', '874', '772', '166', '929', '796', '956', '651', '861']
['461', '216', '724', '638', '235', '143', '459', '749', '980', '618', '841', '301', '394', '277', '102', '319', '388', '541', '400', '537']
['316', '634', '565', '588', '961', '414', '374', '972', '504', '529', '156', '121', '232', '391', '396', '376', '271', '3', '292', '52']
['236', '701', '413', '710', '938', '243', '488', '810', '640', '185', '78', '337', '399', '82', '884', '583', '763', '778', '186', '508']
['909', '695', '164', '53', '759', '4', '923', '72', '888', '951', '79', '859', '392', '134', '974', '99', '626', '230', '670', '612']
['231', '251', '114', '965', '672', '738', '806', '351', '1', '614', '809', '816', '615', '804', '210', '446', '278', '296', '11', '349']
['717', '557', '712', '684', '959', '643', '485', '833', '548', '885', '142', '575', '535', '127', '627', '158', '352', '108', '866', '199']
['122', '115', '949', '117', '649', '51', '435', '893', '714', '206', '87', '380', '196', '189', '94', '647', '617', '824', '237', '208']
['100', '985', '760', '999', '751', '378', '411', '533', '674', '936', '950', '149', '469', '311', '668', '937', '424', '595', '728', '783']
