['184', '25', '47', '682', '17', '114', '692', '356', '191', '49']
['351', '332', '173', '755', '557', '673', '766', '634', '242', '81']
['651', '398', '601', '515', '391', '384', '628', '412', '335', '509']
['369', '294', '798', '274', '175', '374', '464', '216', '691', '462']
['316', '687', '30', '283', '130', '630', '470', '121', '768', '510']
['246', '151', '277', '0', '676', '782', '727', '757', '249', '597']
['370', '565', '525', '733', '328', '734', '85', '556', '94', '602']
['100', '477', '712', '522', '292', '536', '203', '237', '517', '269']
['586', '498', '518', '258', '16', '279', '480', '72', '110', '609']
['427', '54', '250', '129', '705', '513', '772', '550', '493', '575']
['152', '528', '264', '424', '120', '225', '566', '638', '674', '410']
['539', '740', '150', '299', '360', '112', '636', '147', '153', '232']
['677', '711', '288', '193', '450', '473', '554', '688', '526', '400']
['584', '74', '605', '206', '440', '545', '599', '393', '3', '164']
['172', '376', '655', '736', '87', '320', '442', '80', '244', '503']
['656', '422', '475', '385', '312', '82', '425', '659', '395', '29']
['728', '496', '196', '28', '52', '653', '559', '125', '42', '591']
['392', '325', '572', '790', '715', '596', '530', '273', '272', '90']
['485', '627', '430', '215', '537', '696', '284', '158', '310', '287']
['761', '41', '717', '551', '704', '167', '221', '570', '474', '78']
['131', '789', '365', '439', '142', '455', '331', '544', '5', '708']
['302', '720', '709', '166', '747', '336', '378', '33', '702', '218']
['403', '571', '379', '590', '224', '420', '53', '646', '27', '763']
['463', '681', '713', '456', '88', '207', '719', '235', '587', '323']
['541', '784', '416', '478', '117', '43', '489', '214', '98', '296']
['595', '501', '561', '143', '774', '318', '350', '22', '499', '404']
['481', '252', '92', '156', '223', '514', '603', '533', '361', '342']
['383', '6', '66', '357', '161', '785', '368', '240', '59', '352']
['97', '466', '115', '775', '505', '401', '12', '138', '616', '259']
['647', '187', '295', '257', '745', '411', '415', '606', '531', '298']
['119', '438', '795', '205', '445', '783', '406', '648', '73', '741']
['227', '479', '345', '35', '680', '645', '547', '291', '698', '778']
['632', '520', '23', '408', '476', '465', '684', '650', '631', '260']
['11', '127', '255', '38', '759', '149', '181', '194', '137', '234']
['516', '171', '471', '737', '661', '254', '459', '793', '799', '492']
['748', '84', '211', '765', '32', '555', '695', '148', '567', '231']
['180', '610', '613', '502', '414', '725', '482', '202', '83', '568']
['326', '582', '10', '497', '239', '562', '144', '353', '742', '448']
['133', '560', '48', '714', '706', '749', '321', '300', '267', '70']
['418', '700', '626', '210', '280', '756', '270', '413', '55', '256']
['578', '469', '781', '305', '278', '452', '308', '380', '451', '14']
['607', '421', '407', '134', '188', '24', '31', '106', '732', '341']
['629', '212', '767', '644', '228', '348', '2', '723', '751', '57']
['293', '91', '366', '290', '390', '307', '487', '419', '135', '338']
['592', '788', '139', '208', '553', '542', '304', '198', '589', '486']
['618', '69', '564', '521', '495', '286', '355', '600', '71', '157']
['640', '63', '635', '429', '435', '36', '622', '611', '45', '402']
['642', '253', '754', '101', '753', '251', '21', '382', '641', '579']
['301', '26', '40', '746', '245', '367', '612', '337', '666', '563']
['744', '327', '444', '107', '604', '95', '639', '381', '405', '154']
['668', '621', '721', '458', '19', '386', '483', '617', '262', '265']
['664', '643', '608', '222', '735', '204', '64', '794', '716', '233']
['484', '619', '108', '523', '96', '791', '780', '199', '426', '4']
['686', '694', '146', '552', '527', '282', '46', '760', '667', '354']
['792', '68', '329', '58', '213', '396', '447', '663', '594', '349']
['387', '548', '399', '588', '389', '436', '580', '44', '660', '7']
['683', '693', '491', '703', '437', '786', '104', '581', '89', '585']
['314', '179', '75', '186', '266', '409', '140', '532', '707', '61']
['377', '178', '535', '99', '192', '243', '569', '710', '371', '236']
['512', '529', '322', '183', '105', '670', '511', '657', '340', '51']
['363', '93', '494', '558', '289', '116', '540', '671', '200', '417']
['197', '654', '165', '549', '770', '189', '598', '614', '113', '577']
['743', '132', '615', '685', '170', '373', '347', '276', '397', '319']
['136', '124', '697', '303', '176', '375', '343', '111', '56', '699']
['433', '209', '423', '190', '344', '665', '76', '434', '546', '271']
['461', '141', '362', '506', '248', '543', '623', '388', '15', '637']
['752', '762', '263', '731', '358', '776', '690', '593', '8', '457']
['77', '449', '472', '583', '37', '268', '313', '718', '432', '220']
['467', '504', '524', '726', '649', '625', '79', '624', '779', '576']
['675', '247', '109', '155', '311', '18', '50', '490', '241', '62']
['460', '428', '169', '394', '145', '453', '633', '118', '226', '454']
['160', '65', '724', '34', '13', '672', '174', '324', '39', '182']
['128', '359', '739', '620', '281', '195', '431', '364', '317', '750']
['67', '315', '309', '441', '508', '722', '689', '662', '346', '275']
['729', '297', '9', '230', '773', '217', '123', '771', '797', '538']
['534', '738', '333', '103', '219', '60', '177', '669', '658', '679']
['519', '201', '285', '1', '122', '163', '162', '488', '573', '769']
['330', '777', '20', '372', '652', '306', '229', '468', '507', '238']
['701', '796', '730', '446', '339', '334', '168', '102', '185', '758']
['126', '574', '261', '159', '787', '500', '678', '764', '86', '443']
