['370', '190', '996', '31', '574', '981', '518', '733', '701', '685', '428', '591', '255', '852', '654', '596', '608', '537', '822', '288', '861', '391', '610', '104', '635']
['731', '704', '752', '401', '728', '862', '516', '553', '298', '281', '155', '633', '909', '602', '700', '532', '416', '918', '611', '8', '675', '660', '653', '792', '362']
['11', '398', '347', '151', '517', '524', '684', '482', '492', '308', '274', '69', '616', '808', '821', '921', '183', '309', '698', '839', '86', '761', '875', '498', '512']
['515', '484', '707', '816', '267', '188', '848', '727', '638', '342', '84', '368', '741', '715', '576', '514', '332', '502', '561', '186', '66', '648', '135', '123', '587']
['989', '584', '264', '763', '845', '910', '187', '599', '793', '978', '442', '355', '136', '96', '483', '912', '57', '823', '836', '229', '245', '753', '420', '914', '744']
['371', '441', '90', '526', '236', '939', '777', '799', '953', '196', '814', '667', '346', '211', '466', '600', '348', '243', '499', '299', '965', '604', '271', '141', '888']
['883', '570', '477', '923', '167', '285', '920', '908', '589', '926', '212', '735', '456', '325', '268', '993', '176', '932', '720', '607', '585', '522', '711', '598', '838']
['889', '623', '721', '163', '89', '393', '233', '944', '904', '737', '149', '71', '253', '706', '443', '61', '901', '45', '259', '70', '990', '592', '178', '34', '323']
['977', '173', '891', '100', '367', '771', '329', '375', '656', '949', '991', '223', '766', '643', '142', '894', '690', '153', '226', '302', '826', '81', '114', '343', '333']
['940', '162', '911', '934', '593', '857', '169', '846', '626', '78', '869', '278', '781', '510', '533', '417', '694', '817', '110', '860', '697', '847', '319', '739', '410']
['365', '964', '165', '270', '548', '418', '379', '220', '551', '834', '29', '337', '801', '317', '97', '617', '67', '590', '829', '884', '647', '519', '835', '262', '334']
['973', '759', '937', '813', '4', '454', '613', '409', '436', '381', '890', '805', '935', '386', '93', '601', '485', '507', '294', '773', '776', '503', '82', '520', '35']
['555', '204', '336', '754', '232', '193', '652', '269', '678', '254', '372', '63', '200', '341', '668', '15', '324', '300', '395', '549', '662', '819', '359', '396', '683']
['331', '50', '234', '385', '769', '886', '388', '189', '719', '631', '868', '723', '33', '219', '432', '230', '172', '166', '807', '303', '972', '59', '958', '74', '21']
['210', '614', '382', '672', '950', '540', '208', '113', '459', '307', '313', '36', '843', '266', '541', '803', '812', '832', '28', '682', '48', '351', '775', '472', '705']
['717', '411', '621', '689', '292', '489', '419', '10', '680', '535', '318', '56', '999', '710', '757', '693', '943', '260', '928', '412', '17', '9', '669', '523', '784']
['468', '273', '655', '5', '133', '556', '856', '246', '312', '594', '458', '174', '505', '32', '789', '797', '588', '124', '207', '95', '632', '19', '490', '542', '842']
['328', '864', '413', '615', '7', '714', '447', '946', '718', '249', '465', '310', '380', '795', '76', '622', '289', '867', '811', '159', '874', '905', '495', '221', '83']
['559', '453', '422', '460', '806', '327', '3', '40', '747', '51', '109', '786', '125', '488', '628', '810', '577', '984', '573', '825', '181', '612', '158', '985', '140']
['467', '374', '88', '804', '192', '945', '938', '770', '128', '725', '23', '968', '758', '527', '216', '431', '827', '691', '117', '538', '951', '415', '936', '903', '434']
['603', '185', '879', '98', '780', '121', '201', '802', '77', '671', '87', '20', '511', '182', '437', '1', '199', '696', '880', '425', '80', '619', '871', '762', '224']
['564', '676', '629', '276', '161', '898', '509', '52', '636', '976', '470', '214', '664', '788', '624', '478', '663', '902', '248', '772', '554', '960', '997', '175', '429']
['24', '92', '433', '729', '637', '831', '849', '828', '794', '449', '256', '326', '405', '217', '392', '859', '486', '378', '550', '115', '218', '284', '980', '103', '563']
