['658', '652', '178', '227', '709', '187', '108', '976', '957', '871', '872', '147', '858', '245', '185', '458', '951', '51', '736', '829']
['602', '213', '302', '876', '883', '977', '329', '929', '887', '148', '914', '234', '579', '265', '802', '504', '353', '850', '111', '661']
['451', '921', '925', '880', '631', '750', '356', '759', '582', '513', '703', '325', '490', '64', '379', '557', '80', '689', '273', '993']
['175', '474', '609', '434', '959', '263', '935', '738', '399', '368', '734', '235', '908', '953', '457', '728', '638', '672', '409', '208']
['646', '57', '961', '576', '209', '726', '83', '441', '737', '942', '54', '262', '151', '239', '359', '43', '815', '527', '784', '119']
['824', '862', '596', '555', '913', '550', '206', '787', '843', '271', '201', '580', '202', '346', '506', '116', '55', '721', '133', '502']
['543', '923', '686', '958', '13', '613', '59', '789', '417', '644', '41', '965', '915', '761', '874', '660', '522', '398', '389', '980']
['103', '429', '385', '992', '102', '885', '947', '879', '529', '473', '394', '678', '820', '40', '760', '687', '430', '157', '464', '460']
['433', '821', '11', '139', '461', '859', '401', '87', '618', '452', '48', '117', '405', '268', '955', '507', '438', '832', '779', '410']
['998', '766', '164', '846', '439', '526', '454', '308', '931', '651', '735', '300', '132', '797', '891', '812', '216', '293', '9', '813']
['155', '154', '45', '659', '768', '259', '52', '436', '577', '162', '564', '63', '107', '125', '427', '624', '910', '558', '663', '31']
['928', '327', '902', '701', '431', '203', '905', '95', '6', '628', '414', '630', '772', '804', '823', '626', '375', '627', '463', '716']
['949', '205', '35', '71', '39', '752', '30', '657', '363', '137', '795', '98', '377', '861', '186', '806', '285', '792', '531', '897']
['252', '702', '497', '136', '181', '126', '964', '413', '194', '484', '595', '670', '236', '2', '350', '326', '972', '796', '892', '932']
['495', '780', '674', '449', '705', '987', '641', '195', '666', '395', '629', '89', '856', '642', '619', '865', '381', '889', '342', '978']
['17', '406', '983', '475', '912', '90', '199', '834', '75', '790', '719', '704', '997', '781', '340', '371', '845', '936', '250', '446']
['58', '347', '172', '314', '882', '673', '237', '397', '110', '49', '592', '962', '309', '681', '230', '747', '606', '171', '607', '655']
