['293', '692', '411', '878', '337']
['458', '319', '145', '217', '924']
['301', '911', '432', '47', '249']
['168', '326', '537', '100', '180']
['788', '297', '995', '763', '732']
['263', '601', '808', '439', '413']
['948', '465', '98', '794', '220']
['460', '703', '565', '697', '956']
['683', '861', '678', '280', '971']
['175', '906', '306', '178', '757']
['672', '397', '852', '865', '689']
['640', '858', '14', '203', '165']
['944', '844', '341', '963', '934']
['810', '142', '447', '138', '619']
['328', '335', '654', '671', '771']
['356', '176', '3', '102', '2']
['642', '398', '792', '597', '141']
['204', '856', '482', '722', '255']
['991', '765', '287', '693', '862']
['892', '907', '531', '986', '311']
['136', '55', '20', '897', '815']
['371', '996', '946', '997', '403']
['705', '702', '528', '754', '503']
['589', '835', '462', '23', '885']
['17', '785', '849', '651', '431']
['359', '78', '573', '819', '728']
['272', '502', '796', '715', '836']
['764', '407', '475', '682', '833']
['966', '321', '981', '854', '41']
['635', '112', '227', '8', '756']
['285', '974', '790', '985', '912']
['726', '935', '848', '442', '211']
['37', '606', '364', '489', '910']
['909', '343', '344', '641', '250']
['727', '562', '534', '376', '905']
['591', '751', '533', '86', '636']
['9', '159', '181', '338', '115']
['188', '48', '214', '349', '361']
['847', '274', '29', '79', '942']
['24', '676', '548', '479', '620']
['721', '617', '179', '158', '840']
['561', '857', '896', '450', '64']
['588', '625', '260', '623', '245']
['476', '964', '993', '408', '114']
['60', '54', '596', '894', '928']
['723', '659', '853', '193', '881']
['824', '517', '11', '454', '32']
['930', '947', '223', '961', '51']
['421', '622', '140', '629', '511']
['57', '633', '467', '868', '275']
['267', '736', '209', '841', '612']
['643', '559', '873', '987', '761']
['259', '661', '348', '486', '973']
['12', '564', '16', '210', '375']
['456', '365', '734', '19', '793']
['126', '555', '284', '631', '457']
['289', '776', '409', '891', '578']
['264', '300', '363', '638', '782']
['414', '82', '859', '880', '468']
['978', '494', '536', '137', '481']
['925', '826', '902', '290', '151']
['487', '118', '913', '474', '887']
['519', '15', '639', '538', '65']
['879', '860', '630', '194', '273']
['936', '124', '380', '957', '221']
['970', '358', '741', '767', '105']
['886', '500', '96', '554', '309']
['469', '69', '189', '314', '6']
['333', '982', '662', '943', '75']
['492', '972', '430', '196', '390']
['238', '33', '866', '933', '438']
['276', '772', '755', '292', '775']
['327', '901', '215', '730', '103']
['156', '422', '992', '445', '899']
['224', '216', '898', '587', '128']
['539', '679', '716', '340', '368']
['427', '822', '701', '529', '614']
['89', '92', '719', '143', '967']
['208', '600', '789', '122', '416']
['556', '668', '694', '387', '655']
['426', '812', '135', '758', '770']
['379', '463', '225', '713', '618']
['795', '735', '664', '232', '586']
['113', '484', '540', '684', '148']
['513', '425', '542', '846', '318']
['740', '106', '998', '798', '360']
['704', '637', '688', '805', '520']
['521', '598', '708', '541', '88']
['718', '243', '1', '119', '241']
['392', '39', '994', '686', '84']
['900', '843', '212', '745', '560']
['25', '111', '850', '527', '628']
['490', '332', '938', '222', '666']
['791', '576', '498', '288', '579']
['355', '984', '236', '525', '399']
['59', '477', '295', '870', '989']
['507', '488', '780', '777', '252']
['50', '265', '49', '845', '101']
