['97', '51', '225', '76', '151', '402', '308', '126', '369', '379']
['434', '463', '54', '336', '78', '254', '446', '250', '248', '362']
['93', '38', '405', '418', '415', '16', '267', '175', '289', '324']
['50', '77', '348', '182', '61', '159', '319', '201', '17', '307']
['399', '104', '354', '120', '176', '359', '228', '124', '327', '260']
['10', '247', '477', '198', '115', '145', '365', '397', '63', '270']
['370', '459', '489', '269', '207', '326', '264', '454', '306', '451']
['204', '191', '310', '227', '253', '316', '432', '284', '26', '413']
['208', '332', '277', '171', '173', '213', '244', '438', '117', '335']
['70', '196', '393', '27', '193', '349', '25', '424', '103', '24']
['180', '350', '374', '53', '435', '395', '99', '298', '187', '385']
['132', '69', '258', '357', '321', '468', '232', '121', '130', '79']
['282', '274', '318', '224', '291', '9', '164', '461', '234', '65']
['114', '262', '14', '52', '356', '42', '482', '481', '293', '5']
['283', '123', '146', '320', '488', '214', '301', '149', '475', '305']
['85', '240', '342', '157', '140', '376', '483', '412', '0', '429']
['2', '368', '241', '431', '495', '245', '246', '366', '486', '445']
['55', '498', '57', '172', '215', '355', '294', '292', '194', '136']
['106', '469', '317', '31', '456', '195', '278', '11', '36', '425']
['377', '28', '230', '142', '473', '328', '382', '430', '338', '347']
['235', '162', '493', '147', '37', '56', '403', '59', '420', '112']
['229', '119', '251', '302', '1', '122', '206', '416', '384', '346']
['35', '414', '134', '12', '391', '286', '109', '13', '216', '81']
['111', '205', '315', '73', '177', '184', '322', '290', '186', '231']
['185', '433', '487', '499', '236', '311', '334', '378', '410', '48']
['252', '210', '200', '144', '406', '276', '381', '389', '407', '390']
['444', '226', '343', '39', '341', '303', '490', '197', '152', '154']
['280', '219', '21', '449', '60', '452', '427', '470', '20', '88']
['237', '439', '404', '453', '44', '188', '169', '49', '458', '309']
['450', '174', '471', '222', '462', '83', '43', '167', '178', '67']
['299', '480', '137', '179', '143', '108', '337', '100', '467', '58']
['34', '7', '75', '339', '367', '333', '72', '150', '255', '325']
['89', '202', '166', '22', '116', '211', '221', '113', '29', '428']
['190', '363', '133', '46', '183', '472', '92', '383', '203', '442']
['33', '243', '239', '238', '361', '64', '218', '455', '82', '40']
['45', '297', '263', '494', '6', '271', '457', '497', '138', '484']
['153', '165', '15', '261', '32', '84', '447', '129', '313', '127']
['272', '160', '3', '353', '156', '396', '419', '23', '358', '464']
['388', '118', '323', '91', '217', '181', '295', '426', '268', '259']
['249', '372', '421', '408', '265', '411', '491', '141', '496', '110']
['18', '400', '401', '62', '466', '8', '423', '387', '437', '479']
['242', '163', '125', '465', '192', '128', '223', '266', '275', '285']
['331', '375', '492', '102', '352', '351', '158', '131', '287', '300']
['74', '257', '47', '409', '392', '68', '386', '474', '329', '30']
['168', '4', '330', '460', '448', '273', '256', '41', '417', '98']
['371', '380', '139', '87', '436', '155', '90', '344', '107', '233']
['440', '314', '364', '441', '398', '373', '422', '312', '95', '105']
['476', '443', '94', '485', '80', '101', '170', '199', '19', '345']
['96', '148', '281', '340', '304', '279', '209', '212', '394', '288']
['66', '135', '296', '71', '161', '360', '86', '478', '220', '189']
