['440', '903', '902', '374', '37', '715', '906', '105', '189', '625', '786', '496', '353', '960', '867', '571', '545', '901', '331', '342', '482', '853', '713', '734', '845', '648', '367', '161', '599', '698', '662', '358', '804', '89', '384', '242', '341', '81', '416', '617', '502', '664', '362', '622', '232', '110', '279', '809', '277', '656']
['255', '325', '385', '779', '8', '220', '391', '442', '290', '304', '430', '813', '834', '378', '205', '25', '140', '673', '611', '132', '580', '923', '739', '190', '261', '208', '431', '43', '801', '553', '174', '372', '87', '995', '597', '207', '530', '838', '59', '289', '501', '144', '90', '504', '404', '876', '755', '406', '467', '978']
['636', '985', '457', '405', '586', '468', '395', '158', '148', '15', '783', '332', '187', '926', '633', '262', '226', '17', '915', '831', '939', '542', '880', '881', '904', '567', '579', '719', '150', '858', '660', '907', '971', '351', '890', '143', '435', '653', '668', '375', '181', '163', '670', '65', '14', '80', '209', '462', '33', '832']
['888', '425', '165', '439', '495', '581', '745', '256', '742', '29', '877', '790', '412', '826', '746', '812', '503', '34', '775', '135', '151', '394', '949', '565', '987', '396', '808', '861', '872', '984', '30', '761', '107', '223', '168', '398', '760', '833', '697', '236', '667', '192', '707', '969', '630', '153', '240', '227', '303', '413']
['948', '672', '646', '345', '688', '784', '913', '774', '868', '729', '244', '946', '101', '447', '493', '649', '455', '555', '239', '991', '974', '498', '933', '758', '727', '253', '121', '157', '429', '841', '88', '444', '326', '721', '595', '561', '929', '383', '889', '445', '108', '993', '842', '73', '53', '642', '690', '390', '231', '968']
['297', '613', '854', '990', '284', '887', '415', '86', '359', '525', '0', '178', '403', '961', '275', '44', '324', '376', '172', '955', '354', '370', '574', '776', '874', '607', '863', '632', '515', '307', '228', '947', '650', '988', '263', '233', '360', '361', '456', '300', '627', '64', '356', '294', '791', '764', '572', '169', '48', '634']
['912', '68', '474', '193', '866', '24', '612', '497', '825', '130', '283', '641', '94', '736', '943', '337', '487', '479', '323', '420', '180', '710', '83', '647', '194', '934', '248', '878', '245', '116', '871', '319', '142', '998', '694', '102', '535', '419', '162', '849', '671', '952', '865', '706', '772', '199', '489', '170', '967', '443']
['678', '98', '830', '891', '816', '423', '550', '436', '750', '762', '997', '951', '123', '71', '69', '77', '604', '733', '879', '546', '837', '981', '363', '219', '264', '869', '759', '333', '857', '677', '590', '428', '855', '387', '258', '814', '357', '389', '466', '380', '122', '737', '46', '823', '975', '246', '577', '576', '137', '317']
['336', '782', '282', '818', '506', '212', '798', '616', '276', '539', '329', '711', '371', '651', '895', '638', '610', '70', '473', '568', '295', '204', '705', '200', '771', '905', '916', '27', '769', '704', '605', '780', '709', '531', '635', '696', '183', '508', '49', '941', '393', '924', '195', '93', '608', '452', '453', '459', '166', '560']
['885', '67', '182', '512', '543', '250', '164', '936', '313', '136', '744', '558', '95', '339', '840', '792', '287', '486', '788', '606', '752', '305', '402', '454', '214', '249', '747', '55', '573', '666', '529', '851', '847', '16', '314', '519', '286', '659', '54', '773', '631', '478', '523', '139', '766', '446', '537', '829', '26', '735']
['935', '146', '992', '518', '598', '344', '271', '134', '983', '965', '873', '298', '940', '340', '327', '749', '918', '566', '91', '500', '922', '624', '149', '432', '822', '592', '188', '82', '171', '112', '408', '318', '505', '549', '789', '218', '884', '584', '655', '52', '40', '527', '421', '701', '601', '787', '725', '882', '10', '982']
