['53', '242', '37', '645', '867', '16', '616', '470', '663', '161', '26', '194', '34', '311', '786', '600', '148', '533', '865', '792', '690', '662', '405', '634', '167', '147', '385', '375', '241', '858', '773', '503']
['833', '582', '130', '635', '247', '583', '507', '753', '952', '514', '157', '131', '804', '848', '443', '296', '574', '648', '121', '57', '731', '236', '751', '392', '196', '541', '17', '925', '539', '790', '200', '432']
['23', '116', '144', '608', '63', '821', '362', '93', '734', '718', '214', '438', '698', '560', '128', '511', '372', '47', '506', '785', '181', '423', '949', '466', '19', '885', '207', '22', '340', '13', '276', '243']
['737', '10', '479', '263', '31', '677', '305', '647', '411', '842', '272', '0', '137', '954', '617', '86', '378', '908', '324', '286', '544', '532', '178', '794', '159', '760', '499', '313', '280', '562', '728', '776']
['700', '669', '746', '777', '206', '819', '253', '83', '108', '393', '722', '259', '153', '480', '576', '649', '759', '588', '28', '520', '225', '462', '900', '874', '92', '553', '749', '388', '428', '897', '394', '822']
['584', '918', '936', '175', '15', '87', '813', '705', '436', '403', '578', '216', '765', '859', '346', '757', '637', '149', '767', '577', '58', '373', '884', '330', '434', '165', '572', '222', '102', '730', '646', '256']
['609', '621', '133', '33', '586', '866', '369', '856', '117', '752', '796', '768', '433', '739', '719', '7', '939', '75', '814', '68', '510', '948', '185', '289', '893', '288', '907', '899', '787', '525', '124', '803']
['138', '398', '152', '725', '492', '509', '370', '322', '446', '291', '630', '79', '261', '839', '198', '820', '119', '230', '162', '914', '840', '360', '741', '255', '860', '732', '959', '457', '877', '864', '689', '843']
['872', '38']
['56', '780', '135', '513', '521', '439', '482', '212', '382', '126', '590', '496', '932', '910', '89', '943', '915', '343', '284', '48', '712', '386', '868', '155', '592', '366', '62', '60', '51', '140', '905', '317']
['25', '336', '909', '217', '474', '350', '299', '374', '781', '701', '693', '435', '498', '484', '744', '697', '892', '309', '636', '801', '682', '410', '331', '546', '692', '890', '808', '543', '694', '417', '931', '283']
['240', '798', '723', '491', '508', '103', '852', '205', '12', '74', '504', '99', '383', '310', '143', '36', '52', '456', '927', '515', '30', '42', '531', '481', '633', '421', '333', '933', '163', '524', '862', '628']
['14', '665', '623', '104', '257', '902', '869', '97', '166', '184', '769', '738', '762', '427', '55', '156', '473', '547', '656', '861', '618', '755', '695', '826', '951', '816', '329', '306', '139', '82', '835', '49']
['487', '570', '190', '934', '483', '328', '717', '772', '367', '505', '638', '277', '825', '554', '612', '429', '901', '250', '358', '779', '650', '278', '401', '302', '188', '229', '941', '477', '679', '615', '660', '105']
['528', '535', '158', '448', '213', '262', '666', '551', '558', '942', '101', '559', '493', '44', '221', '542', '485', '540', '173', '61', '285', '715', '870', '844', '895', '802', '880', '351', '704', '754', '522', '653']
['680', '556', '234', '917', '379', '563', '6', '269', '938', '783', '613', '347', '676', '639', '643', '146', '655', '444', '8', '580', '208', '73', '425', '610', '348', '365', '888', '471', '118', '702', '891', '270']
['771', '614', '729', '111', '960', '629', '817', '567', '573', '476', '399', '834', '818', '239', '455', '489', '183', '764', '406', '266', '345', '227', '314', '468', '442', '526', '810', '332', '585', '349', '644', '244']
['282', '664', '651', '54', '687', '713', '281', '845', '260', '246', '319', '464', '354', '414', '516', '714', '747', '793', '363', '756', '450', '850', '215', '452', '921', '564', '380', '197', '497', '912', '154', '829']
['681', '273', '500', '361', '841', '43', '857', '923', '120', '290', '605', '721', '422', '828', '671', '849', '711', '371', '815', '632', '598', '853', '326', '486', '293', '352', '193', '231', '550', '228', '210', '377']
['66', '267', '202', '467', '59', '913', '304', '883', '809', '926', '191', '606', '657', '224', '186', '740', '389', '557', '125', '404', '29', '323', '710', '956', '488', '67', '265', '32', '440', '238', '824', '359']
['127', '736', '268', '132', '545', '589', '407', '538', '335', '218', '950', '688', '271', '368', '529', '674', '114', '469', '344', '312', '579', '887', '209', '851', '437', '555', '248', '591', '413', '136', '789', '418']
['800', '919', '944', '180', '709', '626', '805', '27', '24', '490', '652', '88', '930', '308', '599', '699', '245', '50', '581', '946', '300', '237', '774', '955', '20', '81', '18', '685', '315', '807', '512', '160']
['855', '836', '478', '40', '922', '743', '341', '791', '472', '275', '232', '182', '355', '113', '763', '876', '430', '251', '3', '41', '661', '667', '235', '594', '916', '889', '449', '873', '566', '72', '707', '761']
['672', '863', '953', '527', '601', '46', '233', '536', '384', '303', '387', '297', '518', '619', '871', '846', '766', '96', '426', '881', '720', '441', '357', '402', '176', '220', '458', '622', '447', '911', '937', '654']
['696', '123', '71', '316', '76', '134', '906', '561', '409', '519', '396', '879', '534', '45', '678', '758', '69', '799', '742', '703', '189', '219', '327', '827', '523', '735', '342', '587', '641', '595', '957', '549']
['177', '454', '420', '112', '675', '683', '568', '748', '806', '408', '947', '318', '445', '830', '77', '415', '929', '569', '708', '150', '141', '593', '453', '151', '750', '129', '171', '658', '961', '565', '201', '35']
['460', '320', '517', '886', '494', '552', '107', '195', '501', '339', '95', '142', '627', '98', '397', '727', '91', '164', '882', '875', '928', '424', '100', '607', '603', '831', '465', '145', '940', '381', '571', '958']
['170', '811', '788', '854', '168', '258', '624', '724', '475', '631', '80', '1', '782', '778', '812', '199', '611', '604', '39', '733', '334', '179', '620', '9', '106', '823', '684', '642', '279', '187', '670', '784']
['459', '920', '21', '109', '169', '691', '264', '461', '174', '896', '530', '356', '4', '596', '391', '78', '924', '94', '301', '640', '625', '5', '431', '321', '945', '110', '211', '307', '797', '292', '252', '390']
['597', '412', '548', '85', '192', '495', '775', '673', '659', '832', '325', '898', '249', '364', '878', '935', '770', '287', '90', '11', '274', '2', '903', '376', '463', '64', '353', '602', '451', '294', '686', '395']
['122', '537', '70', '338', '172', '668', '837', '337', '847', '904', '115', '295', '726', '575', '502', '226', '84', '894', '223', '416', '706', '298', '204', '400', '716', '745', '203', '419', '795', '65', '254', '838']
