['613', '419', '368', '221', '673', '264', '47', '974', '984', '31', '877', '447', '921', '548', '739', '94', '491', '329', '196', '431']
['827', '871', '357', '691', '573', '314', '943', '509', '582', '791', '590', '945', '298', '519', '392', '343', '933', '702', '233', '993']
['753', '496', '429', '415', '750', '552', '493', '975', '904', '705', '342', '434', '35', '910', '166', '391', '526', '218', '153', '336']
['384', '129', '852', '440', '303', '962', '453', '348', '487', '990', '627', '896', '252', '505', '599', '219', '575', '377', '170', '37']
['944', '301', '951', '311', '893', '10', '999', '716', '122', '831', '39', '180', '980', '932', '402', '833', '400', '956', '412', '514']
['108', '288', '644', '549', '401', '730', '524', '270', '869', '65', '75', '605', '232', '34', '703', '795', '708', '279', '801', '324']
['113', '162', '245', '600', '309', '478', '634', '983', '718', '386', '416', '946', '58', '783', '840', '97', '957', '461', '830', '658']
['907', '647', '757', '134', '981', '291', '229', '567', '858', '561', '632', '213', '23', '479', '780', '745', '353', '535', '508', '701']
['302', '788', '445', '107', '642', '187', '355', '721', '579', '334', '609', '395', '571', '591', '752', '475', '654', '853', '820', '694']
['152', '559', '211', '130', '682', '286', '364', '731', '84', '872', '256', '811', '299', '253', '841', '665', '668', '244', '172', '63']
['865', '842', '640', '796', '977', '998', '236', '663', '856', '451', '443', '389', '263', '772', '167', '606', '373', '312', '193', '520']
['876', '449', '624', '53', '986', '775', '338', '602', '527', '139', '870', '690', '326', '104', '463', '569', '469', '432', '380', '202']
['884', '267', '344', '330', '70', '911', '598', '749', '517', '269', '710', '494', '839', '452', '670', '292', '3', '289', '495', '421']
['597', '586', '6', '217', '154', '116', '250', '860', '266', '621', '405', '8', '672', '939', '101', '560', '179', '617', '742', '619']
['144', '604', '763', '687', '333', '341', '740', '761', '810', '394', '934', '729', '60', '684', '285', '533', '325', '300', '615', '362']
['339', '38', '248', '937', '909', '88', '523', '483', '390', '822', '407', '809', '955', '181', '899', '149', '14', '471', '501', '506']
['557', '726', '748', '385', '802', '317', '376', '127', '836', '114', '223', '188', '610', '792', '973', '857', '819', '815', '498', '677']
['249', '281', '960', '118', '297', '918', '784', '260', '398', '751', '133', '915', '41', '409', '645', '565', '360', '435', '572', '502']
