['534', '93', '681', '155', '750', '971', '872']
['157', '55', '711', '193', '341', '419', '720']
['239', '175', '845', '576', '541', '69', '23']
['151', '292', '194', '267', '941', '158', '457']
['409', '48', '347', '111', '234', '259', '808']
['682', '264', '271', '498', '182', '53', '351']
['179', '939', '795', '609', '561', '895', '336']
['778', '62', '917', '129', '755', '99', '301']
['844', '749', '907', '818', '173', '672', '156']
['797', '522', '343', '967', '788', '662', '337']
['364', '181', '927', '637', '570', '891', '45']
['332', '848', '770', '97', '383', '148', '344']
['694', '137', '217', '114', '566', '247', '664']
['746', '910', '798', '263', '370', '673', '284']
['401', '685', '362', '178', '893', '95', '435']
['115', '236', '952', '232', '933', '423', '504']
['800', '812', '892', '455', '330', '437', '474']
['894', '308', '141', '864', '621', '745', '291']
['452', '391', '32', '275', '57', '127', '475']
['713', '671', '585', '70', '509', '238', '931']
['454', '373', '688', '886', '654', '789', '807']
['768', '485', '880', '427', '471', '709', '510']
['348', '68', '313', '87', '890', '426', '722']
['540', '873', '784', '418', '14', '153', '269']
['651', '884', '314', '249', '538', '935', '862']
['274', '628', '592', '563', '19', '192', '303']
['555', '479', '235', '582', '915', '28', '840']
['852', '591', '703', '913', '905', '221', '315']
['902', '399', '227', '78', '436', '441', '834']
['753', '769', '100', '816', '63', '118', '734']
['598', '331', '626', '583', '559', '786', '514']
['260', '543', '171', '565', '124', '760', '176']
['751', '680', '138', '523', '843', '492', '521']
['573', '616', '161', '76', '140', '143', '352']
['511', '813', '718', '491', '859', '962', '473']
['367', '918', '738', '41', '393', '771', '630']
['361', '405', '742', '607', '59', '733', '772']
['710', '248', '702', '923', '407', '949', '619']
['832', '575', '365', '861', '815', '562', '518']
['438', '469', '810', '869', '584', '858', '37']
['870', '376', '245', '188', '901', '656']
['133', '218']
['30', '109', '3', '297', '270', '726']
['881', '614', '571', '833', '841', '946']
['253', '896', '882', '119', '594', '875']
['590', '20', '761', '490', '379', '147']
['388']
['801', '855', '643', '909', '387', '652']
['195', '715', '589', '758', '258', '787']
['741', '658', '26', '122', '777', '442']
['620']
['413', '611', '647', '868', '190']
['885', '756', '900', '866', '165', '233', '639']
['605', '244', '222', '215', '499', '116', '831']
['206', '15', '513', '201', '820', '396', '224']
['403', '398', '325', '644', '545', '385', '366']
['106', '17', '547', '752', '476', '486', '950']
['578', '552', '757', '811', '791', '495', '450']
['355', '604', '914', '205', '706', '380', '806']
['164', '642', '739', '963', '262', '27', '525']
['839', '90', '22', '43', '878', '415', '531']
['180', '633', '874', '926', '663', '773', '139']
['431', '448', '550', '655', '445', '779', '33']
['466', '649', '408', '142', '648', '29', '615']
['410', '24', '256', '596', '632', '683', '729']
['783', '105', '508', '535', '737', '75', '39']
['488', '929', '368', '219', '472', '381', '629']
['889', '943', '554', '944', '877', '936', '597']
['440', '836', '254', '125', '699', '606', '255']
['451', '296', '823', '803', '228', '0', '916']
['277', '333', '678', '283', '766', '653', '532']
['972', '951', '434', '309', '921', '51', '411']
['912', '16', '837', '273', '625', '965', '306']
['289', '871', '968', '856', '467', '82', '117']
['557', '695', '512', '568', '412', '955', '480']
['251', '444', '128', '712', '49', '406', '638']
['185', '67', '400', '92', '674', '460', '318']
['579', '252', '350', '74', '363', '792', '496']
['382', '184', '135', '494', '697', '300', '386']
['242', '528', '744', '146', '546', '317', '304']
['196', '372', '390', '189', '279', '54', '312']
['35', '945', '829', '152', '928', '47', '728']
['930', '392', '698', '617', '740', '765', '101']
['785', '610', '443', '548', '272', '854', '478']
['144', '762', '730', '558', '328', '73', '470']
['719', '89', '321', '198', '311', '587', '747']
['402', '776', '359', '246', '693', '701', '72']
['634', '679', '357', '42', '690', '526', '851']
['319', '4', '904', '294', '725', '732', '356']
['819', '754', '276', '1', '493', '290', '98']
['281', '65', '113', '149', '835', '36', '241']
['305', '12', '608', '358', '329', '240', '822']
['345', '636', '456', '210', '86', '130', '446']
['191', '581', '481', '214', '887', '91', '40']
['420', '79', '793', '696', '635', '231', '602']
['775', '66', '569', '223', '567', '536', '593']
['691', '505', '497', '942', '897', '299', '278']
['46', '261', '422', '209', '310', '266', '468']
['838', '940', '302', '464', '666', '64', '659']
['145', '574', '542', '925', '782', '107', '167']
['83', '56', '204', '163', '669', '298', '687']
['417', '677', '323', '899', '280', '515', '735']
['226', '34', '483', '700', '953', '293', '487']
['824', '580', '825', '121', '903', '717', '764']
['322', '324', '564', '527', '516', '354', '603']
['958', '378', '211', '675', '424', '44', '58']
['826', '2', '961', '530', '104', '177', '714']
['898', '857', '809', '595', '425', '77', '956']
['519', '484', '159', '187', '6', '162', '657']
['646', '94', '676', '326', '60', '705', '572']
['924', '957', '285', '432', '524', '338', '600']
['172', '85', '517', '225', '667', '335', '790']
['586', '84', '102', '186', '544', '922', '374']
['781', '947', '708', '938', '707', '716', '599']
['650', '429', '243', '906', '287', '9', '802']
['10', '282', '203', '462', '537', '876', '692']
['970', '449', '767', '31', '622', '482', '932']
['908', '867', '120', '428', '7', '154', '316']
['458', '641', '477', '197', '5', '879', '134']
['828', '506', '334', '340', '960', '199', '723']
['670', '169', '453', '804', '81', '883', '384']
['230', '265', '52', '447', '110', '704', '631']
['18', '8', '103', '969', '724', '796', '213']
['842', '966', '342', '827', '416', '208', '463']
['501', '937', '612', '799', '168', '397', '502']
['394', '686', '500', '763', '817', '539', '748']
['430', '863', '668', '645', '346', '13', '661']
['439', '553', '389', '640', '421', '433', '689']
['853', '503', '202', '888', '123', '112', '237']
['954', '624', '150', '395', '108', '320', '919']
['618', '847', '556', '549', '911', '174', '520']
['183', '774', '369', '207', '613', '11', '665']
['865', '660', '934', '759', '216', '377', '295']
['684', '212', '360', '948', '459', '529', '461']
['623', '268', '71', '860', '805', '160', '920']
['731', '166', '132', '846', '849', '136', '25']
['131', '601', '339', '375', '551', '286', '627']
['780', '959', '229', '721', '288', '307', '353']
['465', '850', '200', '88', '743', '371', '170']
['404', '80', '560', '588', '830', '50', '257']
['349', '61', '220', '727', '327', '794', '250']
['96', '126', '821', '489', '533', '736', '577']
['21', '38', '964', '414', '507', '814']
