['370', '230', '334', '339', '367', '238', '17', '532', '664', '756']
['574', '246', '517', '219', '653', '659', '220', '563', '368', '396']
['11', '369', '155', '262', '429', '440', '380', '333', '82', '686']
['685', '225', '290', '19', '223', '172', '123', '504', '681', '73']
['63', '143', '720', '484', '634', '644', '359', '723', '313', '242']
['512', '319', '83', '258', '794', '282', '317', '328', '157', '47']
['525', '208', '164', '287', '410', '92', '715', '300', '483', '324']
['349', '265', '584', '140', '32', '623', '118', '571', '243', '101']
['88', '401', '256', '170', '435', '365', '108', '103', '357', '745']
['90', '196', '215', '618', '59', '669', '26', '392', '122', '726']
['628', '79', '102', '295', '291', '343', '778', '545', '516', '773']
['578', '721', '476', '775', '62', '76', '249', '613', '13', '325']
['373', '350', '159', '757', '588', '211', '480', '782', '303', '296']
['704', '35', '178', '643', '241', '667', '712', '443', '776', '72']
['428', '232', '530', '218', '412', '682', '54', '285', '576', '169']
['466', '397', '60', '453', '761', '479', '98', '433', '521', '449']
['269', '7', '558', '427', '236', '637', '514', '493', '510', '272']
['771', '567', '690', '166', '696', '624', '536', '464', '481', '99']
['387', '436', '415', '655', '106', '345', '385', '718', '553', '167']
['263', '737', '411', '61', '418', '209', '788', '70', '787', '358']
['708', '457', '44', '597', '190', '145', '240', '363', '615', '80']
['610', '549', '531', '537', '583', '95', '299', '733', '113', '362']
['378', '179', '795', '596', '703', '652', '568', '278', '441', '377']
['458', '400', '340', '304', '89', '580', '119', '495', '694', '375']
['645', '672', '286', '422', '506', '611', '522', '268', '141', '651']
['138', '112', '10', '688', '277', '398', '351', '799', '592', '22']
['152', '371', '403', '589', '743', '51', '307', '124', '168', '534']
['625', '311', '570', '695', '489', '635', '442', '780', '8', '679']
['676', '468', '482', '662', '678', '126', '579', '722', '381', '716']
['500', '728', '189', '384', '619', '581', '565', '754', '460', '163']
['409', '42', '620', '56', '425', '97', '587', '292', '432', '57']
['455', '636', '280', '627', '426', '431', '736', '144', '201', '388']
['666', '193', '111', '229', '46', '462', '548', '446', '647', '20']
['148', '614', '15', '237', '66', '308', '331', '330', '402', '663']
['505', '336', '559', '202', '134', '779', '214', '207', '251', '444']
['137', '177', '40', '648', '562', '705', '786', '117', '467', '541']
['404', '337', '341', '617', '408', '550', '582', '744', '297', '348']
['616', '183', '424', '608', '31', '461', '146', '293', '729', '490']
['665', '283', '539', '765', '361', '284', '114', '724', '151', '572']
['305', '438', '16', '342', '649', '766', '216', '81', '25', '4']
['346', '176', '755', '267', '725', '393', '38', '210', '314', '149']
['604', '204', '485', '45', '546', '288', '654', '470', '764', '3']
['121', '355', '577', '329', '93', '768', '491', '58', '791', '612']
['710', '252', '186', '67', '318', '222', '255', '526', '622', '692']
['212', '235', '556', '2', '707', '711', '205', '228', '173', '767']
['673', '50', '486', '68', '606', '69', '631', '84', '593', '389']
['691', '746', '315', '760', '248', '750', '75', '602', '523', '86']
['607', '535', '437', '739', '633', '71', '448', '405', '538', '261']
['23', '273', '727', '158', '732', '423', '452', '321', '738', '573']
['591', '492', '783', '554', '420', '109', '49', '253', '640', '43']
['475', '793', '730', '41', '107', '543', '706', '542', '281', '104']
['174', '9', '259', '94', '507', '184', '641', '798', '100', '605']
['575', '698', '120', '376', '496', '699', '419', '77', '332', '709']
['430', '777', '646', '364', '36', '569', '770', '394', '595', '260']
['520', '194', '344', '224', '471', '390', '360', '660', '674', '719']
['518', '519', '382', '366', '0', '322', '136', '188', '239', '501']
['39', '162', '353', '264', '621', '792', '372', '395', '245', '603']
['555', '670', '702', '763', '213', '447', '18', '21', '33', '564']
['289', '742', '551', '182', '231', '473', '684', '254', '171', '27']
['244', '781', '105', '675', '511', '753', '91', '406', '642', '192']
['769', '309', '586', '52', '6', '130', '161', '474', '450', '515']
['110', '700', '87', '598', '132', '488', '233', '785', '413', '650']
['557', '499', '509', '316', '217', '683', '797', '323', '85', '503']
['585', '187', '203', '335', '195', '24', '561', '524', '115', '12']
['128', '758', '257', '227', '445', '139', '200', '497', '734', '762']
['133', '383', '789', '274', '266', '379', '658', '354', '356', '772']
['731', '590', '64', '247', '735', '693', '552', '687', '206', '632']
['1', '560', '391', '181', '513', '638', '191', '65', '421', '463']
['469', '347', '326', '451', '327', '498', '250', '221', '759', '386']
['338', '131', '416', '276', '142', '656', '713', '601', '180', '740']
['165', '407', '639', '34', '310', '29', '600', '752', '701', '275']
['472', '454', '680', '697', '279', '508', '127', '528', '465', '320']
['53', '790', '668', '352', '199', '116', '599', '784', '796', '30']
['749', '661', '270', '629', '14', '774', '487', '751', '502', '125']
['478', '414', '74', '657', '312', '671', '689', '302', '540', '147']
['456', '594', '150', '175', '55', '544', '160', '533', '185', '198']
['527', '747', '477', '129', '547', '714', '626', '306', '439', '234']
['48', '609', '28', '741', '153', '301', '434', '294', '677', '399']
['197', '529', '5', '566', '717', '271', '154', '748', '37', '298']
['374', '417', '226', '459', '494', '78', '135', '96', '630', '156']
