['350', '473', '112', '119', '89', '73', '86', '14', '155', '25', '484', '460', '481', '88', '437', '47', '255', '58', '117', '120', '200', '76', '29', '97', '246']
['33', '335', '429', '402', '104', '62', '261', '190', '259', '298', '36', '297', '442', '15', '111', '248', '317', '436', '27', '446', '206', '196', '105', '1', '440']
['308', '232', '286', '210', '34', '41', '382', '219', '272', '397', '491', '52', '268', '24', '9', '483', '64', '471', '366', '186', '278', '468', '20', '409', '330']
['160', '289', '239', '496', '74', '319', '265', '452', '275', '411', '176', '384', '12', '462', '480', '459', '143', '427', '391', '135', '453', '100', '244', '477', '431']
['406', '312', '101', '338', '69', '464', '466', '123', '2', '91', '307', '306', '263', '216', '421', '410', '26', '456', '478', '404', '209', '419', '329', '207', '178']
['400', '353', '363', '44', '3', '318', '110', '333', '497', '494', '130', '386', '493', '183', '28', '79', '355', '61', '30', '295', '147', '187', '127', '331', '150']
['194', '495', '98', '387', '63', '287', '189', '260', '243', '322', '358', '321', '380', '274', '279', '139', '208', '417', '57', '490', '314', '367', '422', '327', '399']
['267', '368', '395', '326', '438', '435', '294', '203', '332', '16', '449', '293', '227', '60', '482', '49', '451', '418', '356', '334', '205', '231', '124', '394', '488']
['215', '179', '96', '320', '370', '156', '159', '144', '102', '398', '229', '352', '201', '296', '487', '42', '345', '166', '416', '126', '401', '311', '378', '191', '373']
['266', '170', '163', '46', '114', '463', '423', '492', '354', '458', '430', '221', '54', '479', '282', '71', '70', '195', '305', '106', '85', '35', '78', '174', '339']
['256', '342', '48', '388', '153', '376', '66', '129', '336', '53', '379', '433', '303', '371', '283', '444', '455', '276', '241', '218', '277', '240', '103', '141', '288']
['39', '8', '285', '55', '359', '19', '148', '173', '118', '344', '414', '13', '374', '467', '476', '165', '72', '184', '133', '75', '38', '134', '392', '309', '360']
['441', '447', '11', '362', '486', '470', '226', '225', '292', '50', '7', '348', '439', '304', '426', '161', '383', '128', '474', '83', '169', '270', '172', '17', '230']
['90', '211', '87', '448', '113', '323', '381', '162', '262', '269', '146', '413', '5', '301', '485', '445', '175', '37', '23', '192', '149', '137', '228', '245', '443']
['233', '405', '92', '385', '253', '273', '461', '290', '284', '181', '67', '22', '316', '31', '389', '425', '18', '95', '222', '365', '457', '6', '324', '346', '151']
['68', '454', '220', '171', '167', '145', '251', '10', '84', '498', '450', '351', '299', '122', '310', '247', '109', '254', '242', '108', '396', '235', '0', '280', '131']
['193', '199', '325', '152', '21', '347', '364', '125', '202', '249', '393', '188', '499', '197', '403', '291', '258', '328', '315', '223', '115', '40', '472', '45', '185']
['132', '138', '407', '94', '93', '341', '177', '77', '204', '300', '99', '157', '121', '281', '372', '257', '168', '142', '82', '302', '432', '158', '390', '465', '264']
['489', '213', '238', '81', '408', '182', '343', '250', '116', '59', '56', '224', '337', '217', '424', '428', '434', '475', '349', '136', '361', '420', '154', '236', '140']
['234', '357', '369', '415', '107', '4', '412', '164', '377', '252', '313', '340', '32', '51', '212', '469', '43', '237', '271', '198', '214', '65', '375', '80', '180']
