['949', '250', '458', '759', '513', '463', '41', '82', '423', '251']
['633', '642', '785', '240', '433', '210', '446', '492', '537', '818']
['136', '395', '577', '534', '617', '211', '465', '23', '869', '185']
['963', '797', '52', '522', '693', '599', '578', '951', '124', '498']
['856', '218', '268', '702', '435', '893', '919', '962', '974', '86']
['839', '297', '704', '979', '616', '830', '25', '17', '502', '135']
['265', '953', '430', '439', '984', '948', '912', '840', '460', '292']
['202', '60', '271', '486', '327', '716', '598', '964', '766', '817']
['323', '368', '216', '800', '663', '293', '343', '282', '242', '810']
['373', '378', '841', '213', '576', '587', '471', '566', '782', '317']
['773', '12', '162', '769', '434', '79', '842', '594', '565', '398']
['194', '357', '713', '10', '273', '799', '579', '829', '101', '131']
['734', '77', '208', '639', '967', '811', '260', '283', '328', '549']
['139', '889', '307', '589', '635', '63', '414', '383', '681', '899']
['149', '2', '632', '815', '883', '552', '159', '487', '374', '607']
['614', '892', '57', '448', '291', '821', '232', '420', '783', '241']
['986', '649', '355', '112', '749', '16', '31', '99', '940', '429']
['238', '298', '264', '393', '406', '59', '6', '885', '369', '380']
['308', '444', '977', '98', '900', '827', '533', '142', '236', '277']
['571', '468', '402', '485', '290', '11', '850', '531', '686', '143']
['543', '836', '96', '717', '867', '501', '309', '563', '150', '417']
['174', '419', '400', '726', '976', '338', '638', '998', '914', '479']
['153', '441', '916', '863', '67', '315', '33', '78', '100', '278']
['620', '605', '524', '683', '789', '269', '175', '257', '389', '689']
['861', '244', '923', '590', '558', '790', '320', '833', '413', '992']
['165', '596', '875', '72', '685', '625', '957', '690', '230', '677']
['606', '427', '937', '258', '306', '802', '698', '181', '158', '305']
['51', '141', '235', '346', '132', '824', '684', '712', '980', '822']
['483', '187', '330', '365', '137', '183', '835', '188', '650', '710']
['461', '376', '926', '432', '215', '354', '657', '422', '742', '965']
['959', '396', '407', '74', '116', '361', '728', '792', '770', '363']
['721', '631', '853', '386', '401', '843', '321', '24', '490', '285']
['424', '126', '47', '660', '879', '886', '755', '960', '508', '94']
['640', '392', '795', '247', '983', '503', '123', '972', '13', '437']
['259', '569', '553', '314', '851', '46', '968', '888', '180', '535']
['310', '747', '399', '425', '667', '152', '927', '942', '456', '746']
['134', '442', '313', '239', '4', '474', '655', '720', '593', '868']
['412', '643', '15', '644', '527', '739', '994', '907', '342', '500']
['225', '975', '779', '930', '737', '700', '61', '750', '54', '723']
['884', '506', '806', '694', '915', '805', '608', '788', '939', '387']
['1', '172', '494', '894', '66', '618', '705', '69', '662', '659']
['512', '691', '301', '825', '20', '385', '76', '332', '857', '340']
['626', '119', '184', '431', '199', '103', '672', '711', '718', '848']
['636', '43', '351', '520', '416', '311', '130', '946', '207', '865']
['786', '695', '985', '289', '404', '708', '375', '397', '128', '573']
['809', '322', '661', '630', '219', '956', '75', '776', '335', '887']
['300', '475', '585', '772', '622', '778', '583', '192', '144', '36']
['177', '166', '507', '114', '648', '377', '804', '902', '455', '601']
['85', '436', '303', '481', '329', '109', '904', '113', '597', '50']
['707', '978', '898', '562', '654', '955', '831', '107', '56', '249']
['222', '91', '349', '794', '925', '588', '40', '97', '993', '687']
['214', '733', '295', '834', '581', '379', '943', '762', '765', '523']
['364', '541', '958', '418', '173', '971', '333', '736', '7', '901']
['903', '609', '678', '390', '908', '701', '595', '832', '932', '619']
['408', '201', '703', '438', '646', '105', '409', '334', '724', '403']
['253', '922', '791', '692', '497', '933', '231', '117', '555', '890']
['449', '997', '472', '279', '220', '21', '371', '725', '19', '917']
['133', '104', '675', '384', '529', '911', '284', '28', '316', '880']
['195', '514', '275', '482', '280', '670', '559', '706', '466', '860']
['846', '348', '122', '950', '540', '168', '669', '246', '748', '428']
['564', '200', '570', '679', '83', '918', '826', '637', '611', '111']
['928', '837', '462', '987', '186', '647', '339', '550', '193', '729']
['603', '489', '542', '735', '870', '924', '470', '140', '92', '262']
['372', '129', '699', '751', '771', '22', '70', '496', '973', '671']
['179', '952', '547', '30', '206', '676', '148', '878', '784', '191']
['891', '266', '731', '854', '477', '855', '108', '34', '561', '224']
['530', '55', '905', '223', '84', '847', '495', '125', '813', '484']
['451', '510', '803', '226', '798', '548', '936', '102', '110', '665']
['164', '954', '381', '938', '551', '763', '732', '362', '910', '197']
['337', '299', '877', '37', '722', '819', '781', '476', '3', '838']
['87', '600', '775', '634', '421', '287', '554', '545', '557', '312']
['467', '909', '511', '920', '945', '189', '572', '652', '255', '696']
['147', '411', '532', '358', '196', '248', '556', '178', '777', '243']
['35', '612', '167', '26', '80', '42', '896', '336', '674', '780']
['367', '895', '515', '394', '981', '808', '415', '480', '881', '9']
['906', '491', '913', '560', '727', '318', '528', '866', '68', '653']
['62', '452', '688', '370', '934', '651', '568', '71', '493', '764']
['473', '170', '237', '873', '740', '29', '388', '0', '567', '525']
['325', '849', '793', '929', '610', '582', '715', '719', '209', '93']
['345', '753', '445', '488', '302', '761', '18', '478', '48', '876']
['106', '443', '844', '426', '517', '574', '668', '326', '516', '757']
['874', '38', '591', '499', '897', '190', '127', '828', '459', '536']
['666', '982', '864', '544', '155', '344', '796', '14', '996', '623']
['858', '580', '73', '90', '457', '921', '970', '64', '621', '801']
['941', '741', '816', '281', '738', '163', '872', '859', '450', '198']
['991', '353', '382', '203', '286', '182', '745', '624', '756', '176']
['504', '359', '744', '882', '157', '120', '447', '604', '767', '366']
['509', '947', '862', '39', '743', '58', '212', '205', '505', '121']
['261', '774', '629', '658', '664', '584', '521', '615', '526', '146']
['204', '823', '27', '276', '592', '935', '931', '575', '645', '538']
['760', '807', '391', '682', '221', '730', '352', '350', '288', '5']
['820', '347', '656', '160', '44', '758', '252', '518', '118', '714']
['680', '229', '53', '294', '256', '233', '217', '296', '988', '673']
['65', '812', '768', '331', '45', '161', '999', '32', '88', '341']
['234', '602', '697', '966', '519', '89', '852', '539', '156', '814']
['81', '138', '245', '151', '356', '360', '469', '319', '154', '227']
['274', '586', '115', '989', '995', '169', '709', '304', '254', '969']
['145', '171', '228', '8', '440', '641', '263', '410', '787', '613']
['546', '627', '454', '272', '961', '267', '95', '270', '453', '990']
['49', '944', '405', '845', '754', '464', '324', '871', '752', '628']
