['27', '180']
['83']
['84', '114']
['154']
['71', '167']
['188', '135']
['183', '227']
['208', '110']
['21', '55']
['150', '103']
['61', '220']
['66', '115']
['141', '133']
['63', '93']
['57', '75']
['226', '73']
['195', '45']
['77', '229']
['92', '155']
['174', '13']
['112', '132']
['173', '28']
['206', '5']
['241', '246']
['146', '70']
['230', '65']
['238', '247']
['153', '23']
['151', '53']
['248', '48']
['81', '47']
['129', '160']
['239', '108']
['34', '109']
['43', '16']
['100', '168']
['123', '9']
['159', '219']
['197', '86']
['85', '175']
['91', '18']
['4', '222']
['165', '46']
['142', '119']
['192', '136']
['179', '198']
['228', '35']
['76', '104']
['52', '8']
['215', '139']
['244', '237']
['58', '218']
['42', '64']
['212', '98']
['127', '113']
['245', '147']
['89', '240']
['69', '177']
['49', '102']
['232', '186']
['231', '204']
['51', '96']
['116', '157']
['207', '22']
['90', '163']
['182', '170']
['74', '134']
['7', '149']
['95', '24']
['213', '30']
['144', '242']
['6', '105']
['224', '189']
['94', '15']
['184', '117']
['178', '124']
['118', '225']
['162', '19']
['67', '202']
['59', '60']
['40', '17']
['12', '88']
['2', '32']
['190', '217']
['41', '148']
['11', '176']
['10', '214']
['122', '111']
['120', '158']
['128', '161']
['152', '235']
['107', '203']
['29', '200']
['54', '131']
['101', '56']
['106', '209']
['33', '137']
['68', '205']
['166', '201']
['62', '164']
['31', '97']
['78', '50']
['187', '223']
['26', '221']
['243', '233']
['82', '199']
['126', '210']
['234', '138']
['172', '185']
['249', '196']
['194', '211']
['0', '37']
['216', '44']
['171', '236']
['14', '143']
['25', '193']
['191', '3']
['1', '121']
['130', '39']
['181', '20']
['36', '80']
['99', '87']
['145', '38']
['169', '72']
['156', '125']
['140', '79']
