['114', '40', '18', '45', '183', '218', '200']
['219', '167', '157', '133', '91', '126', '122']
['149', '162', '154', '147', '137', '112', '87']
['254', '260', '261', '256', '266', '262', '273']
['289', '294', '141', '104', '77', '221', '69']
['9', '14', '56', '237', '238', '62', '209']
['44', '102', '242', '97', '196', '27', '192']
['184', '186', '211', '71', '47', '12', '152']
['79', '203', '187', '257', '327', '117', '83']
['324', '342', '182', '139', '28', '227', '231']
['80', '84', '222', '82', '341', '48', '61']
['178', '132', '21', '244', '52', '292', '328']
['158', '160', '155', '156', '173', '168', '161']
['73', '63', '118', '236', '271', '188', '96']
['150', '151', '202', '258', '223', '26', '293']
['75', '153', '13', '306', '131', '166', '201']
['145', '159', '334', '299', '194', '19', '264']
['143', '42', '106', '89', '229', '124', '54']
['140', '34', '116', '349', '217', '67', '207']
['123', '125', '120', '121', '129', '32', '36']
['115', '49', '326', '281', '1', '46', '81']
['180', '59', '2', '37', '30', '316', '246']
['110', '43', '212', '347', '322', '277', '287']
['108', '8', '41', '311', '286', '66', '214']
['105', '5', '10', '38', '113', '130', '60']
['88', '323', '305', '288', '319', '181', '249']
['175', '270', '340', '253', '179', '31', '216']
['210', '95', '148', '165', '127', '144', '337']
['193', '78', '146', '195', '171', '74', '22']
['333', '335', '241', '90', '267', '57', '4']
['325', '206', '101', '251', '76', '233', '234']
['320', '164', '163', '190', '191', '268', '274']
['318', '169', '51', '99', '94', '128', '134']
['315', '321', '93', '85', '338', '339', '309']
['298', '300', '296', '295', '330', '331', '50']
['290', '302', '58', '64', '344', '303', '103']
['285', '304', '205', '348', '100', '72', '68']
['283', '208', '345', '259', '329', '107', '33']
['185', '177', '135', '317', '310', '282', '119']
['280', '313', '138', '189', '142', '170', '301']
['255', '269', '275', '247', '291', '343', '307']
['250', '278', '308', '297', '17', '11', '314']
['248', '312', '332', '336', '176', '98', '174']
['245', '109', '239', '243', '240', '252', '279']
['228', '230', '225', '226', '272', '7', '172']
['220', '235', '232', '29', '23', '65', '224']
['215', '197', '92', '198', '199', '204', '86']
['213', '6', '20', '55', '16', '15', '24']
['70', '53', '35', '276', '284', '265', '346']
['263', '350', '3', '25', '111', '39', '136']
