['367', '146', '123', '107', '44', '178', '334', '94', '318', '352', '294', '293', '264', '84', '200', '209', '122', '343', '332', '251']
['217', '248', '258', '66', '43', '216', '292', '70', '129', '164', '350', '224', '289', '1', '329', '239', '223', '14', '96', '383']
['286', '252', '320', '175', '328', '148', '387', '132', '37', '394', '371', '138', '298', '250', '341', '181', '226', '103', '174', '214']
['88', '80', '61', '21', '12', '124', '120', '151', '295', '204', '76', '113', '260', '34', '331', '198', '261', '244', '139', '179']
['106', '128', '234', '135', '93', '92', '279', '238', '225', '19', '256', '45', '253', '281', '358', '79', '385', '317', '75', '399']
['189', '304', '368', '389', '41', '398', '255', '51', '16', '322', '283', '187', '71', '153', '282', '221', '30', '55', '95', '349']
['7', '211', '127', '357', '117', '104', '377', '232', '60', '161', '373', '4', '311', '63', '280', '218', '166', '10', '152', '17']
['305', '195', '101', '56', '374', '314', '149', '186', '207', '381', '59', '219', '32', '315', '165', '222', '361', '276', '267', '269']
['319', '396', '50', '180', '86', '351', '271', '154', '249', '15', '176', '81', '290', '378', '339', '136', '77', '48', '364', '147']
['115', '330', '167', '287', '11', '27', '274', '158', '393', '173', '100', '159', '259', '145', '142', '301', '213', '73', '23', '112']
['46', '143', '344', '299', '275', '201', '191', '338', '69', '205', '2', '163', '229', '184', '228', '40', '64', '345', '99', '0']
['397', '392', '362', '227', '83', '235', '170', '386', '354', '65', '91', '150', '376', '390', '300', '155', '98', '74', '245', '313']
['342', '156', '144', '288', '62', '353', '28', '36', '359', '82', '108', '284', '9', '140', '203', '47', '257', '324', '388', '327']
['160', '379', '346', '20', '141', '172', '265', '171', '272', '85', '236', '310', '105', '72', '316', '233', '5', '192', '25', '372']
['215', '366', '134', '254', '42', '246', '363', '237', '296', '67', '278', '199', '365', '49', '360', '52', '114', '193', '54', '210']
['243', '323', '157', '391', '29', '58', '277', '395', '335', '230', '169', '116', '126', '130', '262', '78', '241', '340', '89', '97']
['247', '382', '303', '24', '39', '325', '355', '22', '111', '183', '240', '119', '309', '35', '177', '384', '182', '90', '333', '270']
['321', '306', '307', '308', '168', '102', '31', '190', '196', '125', '131', '18', '121', '263', '206', '347', '348', '137', '312', '6']
['220', '87', '337', '38', '202', '208', '188', '118', '68', '302', '197', '185', '133', '380', '33', '26', '3', '336', '266', '291']
['110', '369', '53', '13', '297', '370', '242', '231', '8', '273', '375', '285', '57', '194', '109', '268', '162', '356', '326', '212']
