['448', '112', '385', '384', '97', '187', '127', '249', '104', '75', '273', '189', '93', '437', '124', '461', '209', '78', '69', '15', '279', '382']
['226', '440', '483', '55', '430', '416', '418', '431', '184', '141', '312', '32', '302', '119', '478', '363', '315', '98', '228', '236', '160', '84']
['89', '332', '122', '88', '472', '289', '396', '358', '227', '177', '463', '26', '408', '348', '350', '115', '394', '10', '135', '406', '327', '423']
['347', '47', '338', '242', '159', '5', '117', '128', '246', '38', '457', '278', '266', '268', '155', '49', '240', '259', '428', '414', '306', '456']
['239', '334', '29', '172', '377', '152', '40', '277', '111', '238', '235', '301', '60', '232', '395', '480', '451', '401', '459', '283', '61', '192']
['107', '427', '204', '74', '157', '143', '170', '250', '62', '176', '110', '169', '303', '308', '369', '356', '39', '340', '126', '9', '449', '35']
['443', '144', '120', '48', '45', '96', '8', '133', '324', '186', '145', '82', '51', '203', '388', '46', '87', '445', '359', '367', '14', '398']
['16', '147', '422', '123', '241', '374', '244', '426', '142', '149', '450', '344', '343', '118', '389', '415', '178', '95', '70', '180', '434', '102']
['473', '407', '229', '130', '217', '410', '470', '24', '479', '481', '66', '419', '436', '106', '158', '41', '290', '136', '121', '352', '474', '392']
['139', '92', '248', '397', '342', '447', '294', '233', '56', '80', '254', '59', '311', '166', '116', '288', '4', '86', '221', '261', '205', '482']
['33', '378', '280', '282', '285', '99', '371', '162', '140', '337', '357', '287', '146', '101', '164', '455', '379', '305', '372', '351', '137', '321']
['94', '108', '411', '458', '0', '58', '222', '210', '196', '79', '174', '314', '2', '375', '18', '21', '354', '31', '323', '329', '330', '335']
['264', '383', '193', '223', '477', '331', '156', '270', '328', '319', '230', '310', '420', '262', '433', '412', '435', '441', '446', '271', '252', '57']
['65', '171', '353', '465', '438', '103', '132', '390', '188', '208', '19', '185', '37', '292', '154', '43', '274', '148', '27', '100', '320', '231']
['464', '54', '399', '247', '11', '28', '318', '134', '161', '269', '276', '291', '402', '129', '345', '260', '173', '380', '452', '109', '403', '175']
['298', '275', '393', '381', '71', '73', '373', '300', '12', '281', '404', '199', '64', '215', '211', '341', '214', '218', '220', '190', '432', '77']
['299', '197', '36', '216', '460', '202', '413', '83', '125', '163', '421', '297', '13', '25', '336', '76', '225', '258', '439', '81', '53', '67']
['263', '219', '255', '194', '168', '20', '245', '366', '322', '368', '114', '138', '442', '85', '296', '286', '30', '360', '346', '50', '405', '179']
['212', '265', '316', '63', '42', '355', '425', '224', '213', '206', '272', '333', '284', '17', '181', '153', '307', '468', '7', '376', '326', '253']
['243', '317', '309', '113', '200', '267', '150', '462', '471', '6', '256', '207', '201', '362', '22', '304', '295', '293', '167', '444', '105', '165']
['409', '424', '91', '257', '476', '370', '198', '454', '183', '182', '151', '90', '72', '469', '23', '475', '386', '365', '349', '417', '313', '251']
['467', '234', '361', '325', '453', '195', '466', '364', '44', '52', '3', '391', '1', '237', '131', '387', '400', '339', '429', '191', '68', '34']
