['195', '73', '205', '100', '222', '6', '31', '181', '90', '152']
['16', '128', '75', '104', '228', '41', '131', '82', '184', '70']
['124', '114', '169', '54', '147', '40', '157', '106', '236', '192']
['74', '150', '183', '71', '62', '159', '164', '56', '93', '42']
['213', '117', '212', '116', '143', '136', '154', '111', '207', '248']
['10', '242', '52', '35', '247', '161', '2', '125', '26', '8']
['244', '50', '243', '27', '32', '151', '168', '233', '180', '80']
['110', '199', '103', '44', '65', '162', '115', '216', '165', '113']
['227', '36', '202', '18', '97', '193', '85', '23', '47', '86']
['237', '149', '191', '87', '28', '11', '234', '108', '229', '221']
['89', '175', '132', '146', '5', '94', '13', '59', '9', '43']
['235', '214', '66', '38', '17', '46', '139', '201', '189', '179']
['206', '25', '83', '96', '19', '53', '140', '120', '197', '69']
['226', '57', '208', '240', '24', '158', '48', '101', '105', '7']
['126', '177', '118', '230', '30', '133', '220', '204', '238', '167']
['215', '107', '249', '188', '88', '29', '196', '223', '49', '225']
['51', '203', '173', '178', '0', '95', '142', '15', '21', '37']
['209', '186', '232', '39', '153', '123', '76', '224', '20', '91']
['33', '72', '174', '241', '155', '81', '145', '160', '148', '1']
['187', '68', '112', '217', '92', '219', '211', '84', '170', '231']
['176', '64', '67', '190', '144', '245', '34', '63', '3', '129']
['99', '4', '61', '58', '109', '156', '119', '182', '77', '166']
['134', '14', '22', '55', '200', '135', '163', '172', '171', '210']
['185', '121', '130', '218', '45', '138', '79', '102', '127', '78']
['194', '60', '137', '198', '98', '12', '122', '239', '246', '141']
