['1', '200', '93', '260', '483', '441', '351', '71', '288', '238']
['2', '211', '159', '361', '404', '314', '392', '301', '61', '348']
['10', '192', '229', '225', '340', '449', '379', '292', '335', '147']
['4', '407', '300', '123', '105', '94', '98', '308', '205', '452']
['5', '227', '148', '310', '293', '333', '474', '353', '426', '385']
['3', '149', '496', '366', '306', '302', '409', '216', '430', '198']
['14', '384', '223', '264', '476', '373', '313', '156', '174', '173']
['8', '158', '342', '111', '195', '338', '125', '72', '428', '324']
['9', '431', '155', '447', '446', '276', '468', '240', '124', '341']
['13', '254', '113', '461', '131', '450', '347', '183', '202', '398']
['7', '434', '388', '391', '127', '294', '172', '328', '442', '180']
['27', '486', '133', '117', '138', '121', '457', '272', '325', '279']
['11', '128', '69', '204', '323', '487', '365', '382', '89', '309']
['15', '191', '349', '390', '215', '435', '189', '236', '406', '74']
['53', '389', '274', '265', '289', '114', '475', '456', '322', '364']
['19', '297', '408', '221', '396', '182', '78', '256', '331', '316']
['30', '243', '99', '237', '454', '358', '500', '270', '343', '255']
['17', '386', '75', '249', '376', '178', '153', '81', '151', '495']
['18', '45', '465', '330', '244', '252', '135', '287', '499', '467']
['20', '57', '383', '92', '103', '459', '67', '427', '76', '214']
['21', '394', '413', '177', '489', '59', '62', '63', '268', '132']
['12', '90', '96', '6', '405', '140', '458', '269', '471', '226']
['37', '416', '134', '163', '248', '193', '337', '329', '116', '363']
['22', '29', '108', '210', '190', '84', '401', '448', '402', '266']
['43', '444', '222', '152', '35', '352', '217', '387', '368', '46']
['16', '224', '360', '355', '481', '230', '307', '414', '157', '455']
['79', '375', '161', '97', '423', '485', '219', '167', '70', '271']
['165', '83', '479', '359', '336', '453', '250', '184', '207', '262']
['87', '170', '169', '160', '154', '86', '440', '418', '142', '480']
['451', '232', '139', '304', '130', '50', '231', '345', '282', '162']
['32', '257', '332', '213', '362', '196', '445', '478', '443', '85']
['120', '199', '420', '278', '144', '290', '374', '242', '137', '143']
['24', '239', '212', '176', '58', '417', '399', '203', '150', '326']
['25', '246', '245', '220', '492', '194', '95', '291', '65', '344']
['28', '321', '275', '490', '285', '209', '462', '312', '356', '136']
['36', '410', '472', '181', '488', '411', '251', '395', '228', '218']
['66', '247', '439', '380', '377', '424', '412', '296', '327', '259']
['39', '318', '106', '303', '179', '473', '493', '469', '421', '187']
['49', '484', '298', '122', '319', '437', '350', '320', '175', '280']
['31', '104', '115', '284', '261', '60', '38', '118', '367', '283']
['267', '253', '370', '51', '146', '397', '277', '185', '491', '235']
['68', '171', '197', '334', '295', '419', '466', '80', '429', '436']
['463', '464', '371', '119', '393', '73', '425', '460', '233', '494']
['47', '141', '107', '40', '432', '477', '263', '109', '188', '497']
['55', '403', '77', '234', '281', '482', '91', '433', '206', '422']
['33', '112', '164', '166', '241', '339', '64', '378', '369', '311']
['315', '52', '498', '317', '346', '273', '354', '415', '305', '186']
['56', '258', '168', '126', '145', '48', '42', '129', '299', '100']
['372', '381', '34', '400', '82', '286', '201', '438', '357', '54']
['23', '26', '470', '110', '41', '88', '101', '102', '208', '44']
