['3', '377', '378', '379', '380', '381', '382', '1', '226', '288']
['4', '383', '384', '385', '386', '387', '388', '0', '389', '174']
['5', '390', '392', '394', '358', '357', '351', '354', '353', '352']
['6', '264', '118', '136', '102', '74', '75', '208', '58', '213']
['7', '202', '126', '116', '124', '53', '150', '80', '61', '83']
['8', '266', '60', '261', '45', '233', '122', '221', '23', '259']
['9', '366', '367', '368', '369', '370', '371', '350', '376', '364']
['10', '289', '25', '117', '152', '234', '228', '149', '145', '131']
['11', '268', '355', '356', '363', '375', '365', '372', '373', '374']
['12', '247', '62', '203', '244', '296', '193', '194', '78', '37']
['13', '214', '123', '24', '232', '224', '282', '287', '225', '286']
['241', '156', '129', '216', '33', '220', '256', '180', '215', '195']
['14', '236', '94', '65', '127', '76', '47', '44', '271', '275']
['15', '227', '391', '393', '395', '396', '361', '360', '359', '362']
['16', '239', '104', '142', '201', '111', '59', '185', '263', '113']
['17', '280', '98', '294', '189', '171', '67', '295', '29', '276']
['70', '291', '265', '88', '82', '184', '151', '73', '41', '91']
['143', '222', '109', '237', '42', '277', '260', '92', '165', '93']
['18', '255', '130', '132', '250', '245', '134', '137', '183', '219']
['177', '84', '28', '218', '178', '2', '196', '159', '204', '57']
['210', '346', '347', '306', '305', '304', '303', '302', '301', '300']
['281', '114', '51', '257', '199', '139', '107', '191', '100', '186']
['119', '238', '146', '52', '81', '36', '27', '64', '169', '40']
['19', '290', '297', '34', '54', '298', '197', '240', '249', '231']
['293', '397', '398', '348', '335', '329', '328', '327', '326', '325']
['20', '299', '274', '39', '103', '38', '97', '173', '30', '96']
['262', '320', '321', '322', '344', '343', '342', '341', '337', '336']
['258', '310', '309', '308', '307', '323', '345', '340', '339', '338']
['95', '207', '170', '120', '164', '205', '163', '187', '230', '211']
['251', '319', '318', '317', '316', '315', '314', '313', '312', '311']
['21', '246', '217', '154', '110', '270', '106', '284', '135', '144']
['121', '248', '267', '63', '66', '71', '188', '182', '69', '176']
['179', '209', '349', '333', '332', '331', '330', '324', '334', '399']
['168', '192', '190', '148', '181', '115', '77', '252', '89', '43']
['112', '269', '79', '35', '167', '253', '99', '279', '72', '32']
['166', '206', '157', '101', '155', '90', '160', '285', '87', '278']
['48', '223', '243', '46', '56', '212', '68', '158', '162', '133']
['86', '292', '55', '242', '49', '272', '229', '125', '254', '141']
['22', '273', '31', '128', '26', '138', '140', '85', '235', '283']
['50', '198', '200', '147', '105', '153', '175', '161', '172', '108']
