['69', '203', '116', '156', '219', '131', '267', '159', '365', '373', '70', '157', '379', '313', '226', '71', '247', '182', '301', '355']
['120', '377', '208', '104', '337', '80', '382', '26', '183', '239', '349', '32', '330', '389', '139', '265', '142', '125', '155', '216']
['388', '66', '37', '360', '111', '272', '122', '103', '172', '175', '224', '178', '387', '199', '230', '204', '296', '112', '8', '200']
['395', '258', '278', '246', '50', '244', '79', '218', '5', '271', '145', '302', '348', '41', '179', '82', '214', '83', '146', '77']
['75', '364', '305', '94', '54', '31', '16', '174', '193', '293', '42', '390', '260', '251', '121', '152', '324', '359', '194', '166']
['286', '56', '2', '300', '109', '336', '67', '242', '45', '238', '127', '55', '196', '397', '235', '48', '374', '307', '195', '274']
['163', '143', '84', '186', '149', '34', '215', '350', '68', '290', '197', '252', '289', '11', '361', '317', '119', '288', '105', '92']
['89', '59', '362', '341', '63', '310', '136', '392', '107', '96', '237', '39', '9', '298', '90', '243', '306', '344', '74', '303']
['366', '181', '229', '314', '192', '97', '268', '353', '264', '65', '133', '76', '57', '86', '375', '28', '393', '331', '399', '124']
['368', '130', '281', '263', '106', '347', '228', '164', '12', '234', '367', '184', '333', '345', '285', '33', '245', '148', '248', '308']
['206', '328', '316', '378', '340', '211', '205', '101', '64', '115', '95', '338', '36', '261', '154', '253', '311', '398', '87', '270']
['62', '102', '187', '335', '188', '53', '61', '17', '58', '141', '201', '295', '1', '240', '383', '93', '189', '100', '322', '254']
['291', '132', '22', '279', '25', '354', '327', '297', '259', '256', '250', '78', '282', '151', '158', '99', '40', '81', '391', '73']
['129', '220', '202', '371', '346', '180', '118', '60', '255', '177', '287', '14', '323', '280', '72', '0', '329', '137', '356', '52']
['319', '173', '29', '381', '249', '273', '150', '44', '312', '299', '3', '176', '46', '357', '126', '320', '292', '38', '212', '334']
['168', '370', '325', '35', '262', '190', '386', '10', '376', '233', '221', '167', '138', '213', '227', '369', '276', '43', '326', '210']
['88', '20', '277', '161', '47', '269', '352', '51', '13', '135', '236', '169', '275', '358', '225', '171', '304', '27', '363', '332']
['114', '396', '91', '309', '315', '209', '339', '384', '294', '110', '321', '191', '394', '223', '162', '24', '342', '231', '283', '266']
['4', '385', '343', '21', '257', '380', '153', '23', '318', '284', '123', '128', '144', '98', '232', '372', '18', '7', '134', '140']
['217', '185', '165', '241', '147', '30', '222', '19', '6', '108', '207', '170', '117', '160', '15', '198', '113', '351', '85', '49']
