['284', '357', '447', '342', '303', '411', '253', '416', '474', '467', '311', '327', '157', '394', '151', '421', '64', '23', '455', '338']
['127', '433', '207', '350', '323', '346', '316', '102', '187', '221', '86', '388', '466', '214', '179', '25', '405', '281', '348', '9']
['344', '329', '443', '360', '235', '181', '175', '302', '471', '431', '65', '294', '144', '460', '274', '156', '337', '146', '378', '266']
['87', '442', '425', '363', '150', '355', '328', '244', '2', '265', '152', '343', '45', '364', '384', '429', '391', '261', '368', '11']
['199', '332', '160', '258', '126', '84', '80', '279', '57', '315', '483', '56', '452', '224', '122', '44', '49', '138', '69', '362']
['246', '296', '295', '220', '88', '242', '381', '98', '225', '441', '85', '176', '178', '290', '232', '398', '79', '270', '66', '58']
['234', '267', '121', '493', '10', '490', '1', '499', '361', '352', '298', '213', '164', '367', '347', '109', '397', '112', '241', '380']
['4', '128', '482', '366', '54', '486', '450', '422', '7', '410', '132', '247', '340', '223', '312', '365', '170', '192', '278', '275']
['375', '238', '196', '382', '404', '371', '301', '249', '3', '63', '130', '314', '205', '37', '435', '497', '465', '191', '171', '440']
['189', '456', '403', '27', '32', '206', '369', '353', '331', '137', '62', '155', '408', '426', '92', '124', '263', '233', '387', '423']
['105', '479', '376', '173', '308', '123', '30', '185', '252', '257', '358', '77', '43', '428', '489', '477', '215', '385', '379', '356']
['34', '488', '412', '402', '227', '472', '463', '445', '335', '374', '142', '291', '438', '345', '395', '20', '172', '42', '8', '236']
['420', '299', '453', '304', '461', '292', '35', '393', '268', '61', '190', '5', '13', '201', '282', '229', '135', '145', '248', '259']
['177', '108', '251', '245', '326', '169', '307', '28', '413', '97', '430', '93', '318', '250', '203', '495', '492', '424', '401', '406']
['293', '101', '351', '325', '407', '71', '113', '194', '81', '383', '48', '183', '476', '277', '200', '6', '487', '217', '222', '491']
['119', '41', '195', '16', '0', '73', '313', '243', '484', '289', '359', '392', '226', '432', '377', '114', '47', '271', '159', '202']
['55', '21', '286', '219', '29', '70', '148', '399', '103', '94', '162', '78', '324', '140', '457', '134', '448', '454', '186', '273']
['75', '373', '480', '336', '349', '418', '239', '240', '470', '386', '51', '154', '153', '168', '136', '38', '117', '91', '390', '111']
['464', '184', '197', '417', '458', '31', '15', '208', '100', '106', '90', '285', '306', '341', '468', '262', '53', '19', '12', '216']
['204', '17', '414', '419', '218', '118', '339', '317', '33', '139', '131', '46', '39', '333', '149', '462', '76', '82', '50', '444']
['110', '188', '297', '237', '485', '427', '212', '18', '129', '165', '161', '439', '415', '143', '74', '99', '89', '24', '321', '322']
['288', '107', '280', '36', '409', '370', '67', '451', '60', '14', '211', '116', '96', '133', '320', '396', '498', '310', '180', '166']
['256', '228', '147', '264', '330', '198', '158', '95', '26', '104', '459', '59', '449', '437', '494', '230', '473', '72', '115', '300']
['354', '163', '167', '496', '400', '83', '40', '260', '125', '334', '287', '182', '475', '276', '446', '52', '481', '269', '22', '68']
['272', '478', '255', '309', '231', '469', '389', '174', '319', '305', '120', '372', '193', '436', '434', '141', '254', '210', '209', '283']
