['366', '313', '487', '109', '387', '2', '159', '476', '22', '464', '189', '325', '329', '324', '306', '3', '107', '369', '267', '203']
['237', '180', '175', '400', '368', '292', '191', '427', '467', '123', '256', '347', '302', '84', '439', '12', '181', '140', '190', '280']
['388', '462', '283', '364', '335', '101', '145', '293', '177', '448', '11', '435', '330', '333', '418', '406', '423', '481', '415', '375']
['110', '308', '278', '455', '28', '81', '244', '158', '67', '277', '57', '444', '214', '68', '63', '72', '167', '23', '131', '59']
['240', '356', '404', '379', '90', '298', '47', '405', '132', '429', '235', '317', '51', '74', '338', '451', '412', '371', '108', '389']
['394', '443', '274', '233', '71', '318', '18', '5', '391', '498', '260', '186', '25', '192', '483', '53', '65', '447', '20', '262']
['401', '466', '359', '78', '449', '470', '32', '475', '60', '340', '357', '288', '80', '66', '121', '183', '287', '176', '411', '396']
['490', '265', '252', '149', '97', '134', '323', '93', '386', '380', '106', '350', '337', '86', '440', '241', '328', '168', '157', '479']
['48', '21', '245', '472', '39', '422', '299', '187', '499', '44', '185', '436', '310', '416', '345', '79', '113', '94', '42', '111']
['458', '99', '480', '138', '234', '137', '255', '398', '373', '494', '457', '230', '430', '339', '266', '363', '392', '212', '493', '250']
['73', '417', '200', '226', '184', '33', '166', '182', '75', '426', '352', '478', '484', '354', '1', '104', '450', '30', '344', '275']
['305', '70', '14', '29', '496', '438', '116', '414', '209', '218', '246', '16', '419', '148', '273', '296', '321', '49', '50', '95']
['342', '413', '195', '268', '433', '13', '154', '37', '336', '105', '243', '263', '248', '491', '270', '395', '497', '284', '130', '301']
['194', '55', '473', '231', '376', '197', '161', '124', '442', '171', '351', '348', '471', '10', '64', '454', '249', '87', '69', '117']
['399', '7', '225', '174', '227', '358', '456', '297', '17', '205', '136', '286', '216', '315', '24', '253', '261', '281', '316', '114']
['326', '173', '156', '46', '232', '251', '383', '407', '199', '170', '43', '460', '151', '126', '307', '143', '35', '178', '367', '304']
['410', '295', '327', '125', '488', '139', '163', '196', '160', '207', '341', '374', '242', '54', '19', '52', '300', '153', '453', '239']
['144', '0', '408', '390', '402', '485', '62', '92', '141', '381', '271', '165', '208', '77', '272', '346', '362', '27', '446', '155']
['428', '382', '432', '45', '193', '223', '469', '314', '198', '259', '445', '34', '377', '206', '425', '236', '129', '222', '331', '393']
['482', '322', '4', '150', '489', '211', '179', '320', '6', '463', '201', '85', '247', '115', '56', '254', '83', '434', '465', '31']
['119', '424', '210', '118', '353', '164', '311', '294', '276', '122', '221', '91', '486', '112', '169', '370', '384', '229', '213', '269']
['459', '437', '82', '202', '147', '421', '385', '441', '289', '36', '128', '217', '279', '41', '103', '290', '15', '142', '257', '303']
['461', '220', '492', '452', '98', '309', '135', '360', '38', '96', '282', '88', '474', '146', '312', '285', '120', '365', '468', '349']
['215', '219', '172', '102', '40', '403', '127', '361', '431', '397', '100', '420', '76', '291', '332', '133', '343', '378', '9', '152']
['204', '334', '477', '162', '188', '26', '238', '224', '409', '372', '89', '58', '495', '228', '355', '258', '8', '319', '61', '264']
