['1', '146', '147', '148', '149']
['159', '156', '17', '18', '19']
['160', '20', '62', '97', '98']
['161', '21', '22', '23', '24']
['162', '16', '99', '100', '105']
['163', '101', '102', '103', '104']
['164', '106', '107', '108', '109']
['165', '110', '96', '65', '75']
['166', '111', '112', '113', '114']
['167', '115', '95', '94', '93']
['168', '64', '116', '117', '118']
['169', '26', '27', '28', '29']
['170', '121', '122', '123', '68']
['171', '119', '120', '66', '67']
['172', '69', '70', '63', '90']
['173', '71', '72', '73', '74']
['174', '76', '77', '78', '81']
['175', '80', '92', '79', '250']
['176', '82', '83', '84', '85']
['177', '86', '87', '88', '89']
['178', '125', '124', '249', '91']
['179', '8', '9', '10', '25']
['180', '13', '14', '61', '15']
['181', '215', '30', '6', '7']
['182', '150', '240', '11', '12']
['183', '236', '237', '238', '239']
['184', '226', '227', '228', '229']
['185', '222', '223', '224', '225']
['158', '230', '221', '218', '190']
['186', '187', '188', '189', '231']
['157', '232', '233', '234', '235']
['155', '154', '241', '242', '243']
['128', '244', '245', '220', '219']
['129', '246', '191', '192', '193']
['130', '247', '194', '195', '200']
['131', '196', '197', '198', '199']
['132', '201', '202', '127', '203']
['133', '205', '210', '204', '126']
['134', '216', '217', '34', '35']
['135', '206', '207', '208', '209']
['136', '211', '212', '213', '214']
['137', '36', '37', '38', '39']
['138', '40', '45', '50', '55']
['139', '41', '42', '43', '44']
['140', '46', '47', '48', '49']
['141', '51', '52', '53', '54']
['142', '56', '57', '58', '59']
['143', '60', '33', '32', '31']
['144', '151', '152', '153', '248']
['145', '2', '3', '4', '5']
