['140', '401', '462', '325']
['88', '243', '242', '241']
['428', '282', '139', '142']
['368', '38', '37', '34']
['168', '42', '41', '39']
['84', '46', '45', '43']
['172', '50', '49', '47']
['432', '54', '53', '51']
['364', '58', '57', '55']
['80', '62', '61', '59']
['176', '66', '65', '63']
['360', '138', '33', '35']
['436', '2', '1', '31']
['164', '6', '5', '3']
['76', '10', '9', '7']
['356', '14', '13', '11']
['184', '18', '17', '15']
['72', '22', '21', '19']
['440', '26', '25', '23']
['188', '30', '29', '27']
['352', '70', '69', '67']
['68', '109', '107', '71']
['192', '113', '111', '110']
['444', '117', '115', '114']
['348', '121', '119', '118']
['64', '125', '123', '122']
['196', '129', '127', '126']
['180', '133', '131', '130']
['372', '239', '238', '237']
['160', '235', '234', '233']
['92', '231', '245', '230']
['404', '227', '226', '225']
['400', '187', '186', '185']
['128', '191', '190', '189']
['116', '195', '194', '193']
['396', '199', '198', '197']
['408', '203', '202', '201']
['132', '207', '206', '205']
['112', '175', '178', '209']
['392', '143', '174', '141']
['136', '147', '146', '145']
['412', '151', '150', '149']
['108', '155', '154', '153']
['280', '159', '158', '157']
['388', '163', '162', '161']
['144', '183', '182', '181']
['104', '167', '166', '165']
['416', '211', '210', '173']
['384', '250', '214', '213']
['148', '254', '253', '251']
['100', '258', '257', '255']
['380', '262', '261', '259']
['420', '266', '265', '263']
['152', '270', '269', '267']
['96', '274', '273', '271']
['156', '278', '277', '275']
['376', '494', '249', '279']
['424', '215', '229', '246']
['344', '219', '218', '217']
['448', '223', '222', '221']
['60', '137', '135', '134']
['200', '103', '105', '106']
['312', '74', '73', '86']
['244', '386', '419', '379']
['308', '385', '417', '383']
['24', '342', '449', '415']
['476', '482', '305', '402']
['248', '302', '481', '301']
['252', '478', '479', '303']
['20', '307', '483', '306']
['304', '309', '475', '477']
['480', '311', '474', '310']
['256', '341', '298', '299']
['16', '285', '493', '290']
['300', '491', '287', '286']
['260', '291', '490', '289']
['484', '487', '489', '297']
['12', '295', '294', '293']
['296', '473', '485', '486']
['264', '455', '471', '313']
['268', '331', '330', '329']
['8', '333', '457', '458']
['488', '314', '335', '334']
['292', '453', '337', '454']
['272', '451', '339', '338']
['4', '461', '459', '450']
['288', '315', '326', '327']
['276', '317', '469', '470']
['284', '467', '319', '318']
['28', '322', '321', '466']
['120', '463', '323', '465']
['472', '418', '382', '381']
['316', '378', '377', '422']
['204', '78', '77', '75']
['340', '423', '375', '374']
['56', '82', '81', '79']
['452', '87', '85', '83']
['208', '90', '89', '102']
['336', '94', '93', '91']
['52', '98', '97', '95']
['212', '281', '101', '99']
['456', '431', '283', '247']
['332', '361', '435', '359']
['48', '363', '362', '434']
['216', '358', '365', '433']
['220', '430', '367', '366']
['460', '370', '369', '429']
['44', '357', '437', '427']
['328', '447', '443', '426']
['224', '446', '346', '345']
['324', '349', '445', '347']
['40', '351', '438', '350']
['464', '353', '441', '442']
['228', '439', '355', '354']
['320', '343', '373', '371']
['36', '390', '389', '409']
['232', '410', '411', '391']
['468', '395', '394', '393']
['236', '397', '407', '414']
['32', '399', '398', '406']
['240', '413', '403', '405']
['124', '421', '425', '387']
['0', '171', '170', '169']
['492', '179', '177', '495']
