['121', '196', '104', '98', '94', '143', '128', '113', '112', '219', '140', '149', '246', '145', '135', '297', '3', '190', '82', '51']
['81', '96', '194', '212', '204', '88', '243', '199', '58', '33', '160', '266', '277', '170', '105', '249', '55', '393', '322', '111']
['141', '216', '154', '224', '163', '188', '72', '279', '213', '178', '126', '260', '157', '250', '265', '109', '30', '195', '372', '342']
['101', '234', '183', '276', '244', '79', '288', '233', '66', '280', '137', '230', '272', '278', '245', '32', '175', '10', '379', '389']
['61', '274', '44', '308', '316', '299', '193', '343', '306', '337', '240', '318', '90', '25', '34', '12', '344', '345', '350', '352']
['132', '281', '173', '48', '99', '56', '264', '314', '303', '106', '320', '298', '77', '24', '40', '368', '205', '397', '339', '330']
['152', '301', '59', '53', '268', '334', '283', '284', '18', '377', '46', '356', '373', '360', '329', '325', '399', '202', '310', '4']
['136', '328', '361', '313', '363', '218', '346', '357', '374', '369', '182', '227', '291', '5', '271', '285', '267', '255', '270', '335']
['116', '144', '214', '208', '203', '133', '179', '220', '206', '129', '125', '197', '75', '50', '321', '31', '122', '358', '42', '127']
['176', '84', '83', '74', '108', '78', '201', '92', '93', '139', '120', '146', '45', '189', '115', '317', '210', '102', '91', '392']
['161', '207', '29', '27', '211', '222', '231', '387', '391', '396', '19', '355', '22', '307', '315', '295', '287', '275', '327', '331']
['138', '383', '147', '131', '49', '47', '282', '6', '269', '262', '380', '17', '2', '15', '14', '385', '395', '386', '7', '9']
['156', '323', '26', '1', '348', '353', '394', '338', '364', '167', '151', '89', '69', '67', '57', '13', '305', '302', '292', '290']
['181', '43', '294', '336', '300', '333', '238', '324', '86', '97', '388', '332', '365', '370', '359', '309', '20', '187', '171', '162']
['118', '68', '63', '21', '253', '54', '100', '16', '341', '304', '177', '326', '39', '215', '185', '354', '376', '382', '319', '312']
['134', '263', '41', '36', '293', '248', '64', '60', '259', '381', '252', '117', '286', '258', '225', '110', '384', '390', '340', '349']
['172', '164', '254', '223', '239', '168', '296', '261', '273', '180', '226', '198', '217', '209', '165', '150', '155', '362', '311', '8']
['114', '256', '184', '103', '228', '241', '119', '73', '38', '200', '186', '52', '257', '232', '85', '229', '130', '235', '87', '11']
['236', '28', '142', '107', '191', '289', '251', '247', '242', '398', '347', '351', '366', '367', '37', '371', '35', '375', '378', '0']
['192', '76', '124', '123', '148', '174', '221', '153', '158', '159', '80', '166', '169', '65', '95', '237', '70', '62', '23', '71']
