['147', '15', '195', '151', '105', '229', '52', '129', '244', '84']
['110', '172', '174', '160', '194', '241', '196', '139', '39', '226']
['32', '135', '130', '25', '138', '113', '242', '111', '183', '61']
['48', '136', '82', '231', '79', '243', '107', '116', '123', '28']
['178', '56', '182', '181', '26', '13', '199', '6', '232', '240']
['109', '101', '78', '11', '227', '125', '70', '155', '234', '85']
['222', '211', '97', '53', '68', '46', '245', '67', '69', '92']
['248', '150', '30', '62', '221', '233', '38', '122', '193', '204']
['65', '250', '200', '145', '89', '128', '203', '60', '1', '213']
['124', '153', '98', '55', '23', '173', '161', '93', '206', '209']
['219', '58', '54', '76', '249', '205', '34', '18', '43', '96']
['41', '133', '45', '40', '177', '187', '49', '239', '188', '134']
['104', '159', '216', '197', '189', '214', '59', '27', '236', '80']
['202', '112', '169', '127', '22', '212', '170', '99', '117', '163']
['57', '137', '10', '94', '7', '176', '31', '5', '121', '164']
['74', '102', '223', '141', '207', '162', '72', '142', '81', '228']
['95', '108', '63', '168', '47', '218', '115', '51', '16', '88']
['148', '238', '157', '230', '29', '184', '143', '44', '35', '90']
['73', '37', '20', '126', '83', '106', '19', '167', '246', '146']
['215', '86', '175', '156', '201', '8', '165', '4', '180', '208']
['33', '220', '3', '225', '217', '192', '36', '247', '9', '166']
['186', '14', '71', '149', '140', '198', '75', '91', '100', '87']
['190', '210', '235', '224', '144', '152', '132', '103', '66', '21']
['12', '2', '154', '179', '42', '191', '118', '77', '171', '158']
['114', '185', '17', '237', '64', '120', '24', '50', '131', '119']
