['431', '348', '471', '88', '317']
['286', '7', '279', '51', '460']
['296', '480', '466', '282', '141']
['399', '217', '175', '191', '120']
['133', '254', '230', '3', '445']
['207', '386', '79', '86', '16']
['208', '156', '495', '392', '450']
['246', '404', '336', '475', '379']
['283', '319', '44', '328', '368']
['338', '300', '85', '220', '93']
['182', '173', '183', '196', '274']
['451', '365', '81', '38', '224']
['436', '324', '165', '20', '462']
['64', '190', '109', '238', '181']
['479', '339', '487', '494', '302']
['295', '61', '117', '376', '417']
['218', '315', '132', '303', '105']
['187', '127', '228', '178', '359']
['366', '409', '455', '201', '151']
['380', '131', '387', '423', '37']
['356', '53', '143', '77', '345']
['113', '483', '414', '396', '277']
['381', '119', '388', '129', '413']
['350', '31', '66', '355', '163']
['192', '361', '221', '19', '294']
['377', '292', '200', '439', '267']
['170', '211', '189', '442', '375']
['121', '150', '457', '301', '390']
['209', '408', '12', '1', '288']
['337', '73', '8', '111', '307']
['202', '33', '153', '425', '492']
['245', '289', '97', '271', '247']
['4', '384', '394', '30', '176']
['242', '258', '496', '197', '231']
['204', '437', '331', '241', '71']
['114', '116', '205', '137', '99']
['362', '237', '78', '287', '34']
['309', '6', '147', '39', '229']
['476', '444', '293', '260', '333']
['67', '180', '90', '128', '262']
['343', '491', '48', '225', '89']
['203', '149', '391', '70', '250']
['320', '32', '407', '474', '278']
['193', '342', '415', '305', '239']
['126', '261', '145', '177', '273']
['206', '363', '159', '25', '125']
['46', '11', '215', '367', '497']
['253', '458', '403', '323', '420']
['329', '101', '157', '135', '112']
['83', '357', '478', '421', '304']
['349', '306', '347', '162', '15']
['412', '298', '378', '172', '428']
['138', '29', '76', '360', '382']
['50', '249', '272', '244', '493']
['481', '490', '10', '35', '60']
['389', '65', '448', '45', '47']
['174', '226', '57', '49', '335']
['251', '236', '160', '385', '148']
['102', '435', '465', '255', '346']
['123', '72', '54', '14', '434']
['96', '410', '473', '332', '393']
['154', '370', '443', '110', '134']
['469', '340', '152', '164', '266']
['321', '75', '468', '52', '195']
['482', '23', '82', '438', '371']
['232', '240', '17', '372', '318']
['470', '58', '344', '216', '212']
['488', '454', '463', '441', '314']
['179', '270', '80', '446', '477']
['158', '498', '400', '21', '299']
['353', '486', '213', '259', '268']
['310', '223', '210', '257', '55']
['144', '27', '330', '94', '373']
['233', '484', '406', '107', '459']
['461', '429', '74', '374', '449']
['234', '188', '95', '472', '416']
['24', '56', '146', '26', '297']
['130', '171', '275', '326', '456']
['383', '489', '168', '405', '115']
['36', '280', '124', '28', '184']
['103', '352', '22', '285', '69']
['40', '316', '41', '214', '467']
['358', '108', '185', '290', '59']
['139', '424', '166', '464', '398']
['155', '397', '284', '291', '325']
['263', '100', '452', '485', '194']
['419', '42', '104', '341', '222']
['136', '369', '142', '265', '106']
['63', '9', '327', '186', '13']
['43', '169', '433', '243', '256']
['308', '354', '140', '118', '427']
['334', '122', '430', '411', '322']
['62', '269', '276', '453', '440']
['401', '426', '432', '235', '364']
['91', '227', '0', '264', '311']
['98', '418', '402', '68', '219']
['422', '198', '351', '161', '87']
['248', '18', '252', '499', '199']
['447', '84', '5', '395', '313']
['281', '312', '167', '92', '2']
