['6', '121', '54', '97', '32', '181', '239', '219', '131', '109']
['245', '244', '174', '168', '193', '128', '122', '153', '159', '83']
['151', '72', '197', '217', '103', '4', '81', '5', '112', '155']
['31', '196', '198', '8', '132', '235', '27', '35', '149', '137']
['21', '243', '236', '49', '85', '65', '92', '139', '185', '142']
['225', '118', '69', '164', '205', '24', '57', '9', '152', '106']
['44', '134', '20', '119', '116', '189', '71', '79', '224', '46']
['170', '148', '179', '234', '176', '167', '187', '111', '52', '84']
['238', '227', '147', '17', '188', '201', '172', '213', '7', '51']
['53', '237', '145', '184', '90', '117', '200', '42', '94', '203']
['210', '158', '127', '220', '221', '110', '175', '125', '63', '87']
['13', '129', '101', '233', '89', '16', '39', '100', '80', '115']
['232', '75', '247', '14', '195', '144', '29', '222', '146', '62']
['163', '114', '183', '22', '108', '229', '104', '34', '135', '136']
['25', '156', '23', '113', '78', '228', '248', '59', '177', '47']
['86', '38', '68', '56', '82', '70', '162', '96', '223', '180']
['130', '36', '40', '26', '141', '190', '138', '150', '173', '126']
['107', '157', '208', '98', '154', '133', '10', '226', '249', '76']
['140', '12', '202', '19', '211', '169', '192', '45', '48', '204']
['240', '143', '212', '178', '246', '64', '161', '55', '230', '50']
['231', '2', '166', '77', '3', '120', '15', '66', '60', '37']
['209', '30', '216', '191', '0', '186', '61', '91', '241', '11']
['33', '28', '215', '74', '160', '194', '41', '102', '206', '58']
['93', '95', '1', '218', '182', '18', '105', '88', '242', '99']
['207', '171', '43', '67', '165', '73', '214', '124', '123', '199']
