['458', '356', '318', '180', '268', '257', '171', '174', '204', '410', '151', '261', '419', '191', '177', '281', '45', '389', '76', '349']
['117', '297', '122', '87', '186', '298', '471', '417', '267', '63', '220', '252', '265', '189', '263', '13', '375', '309', '304', '92']
['388', '80', '159', '393', '114', '344', '124', '280', '354', '150', '430', '323', '46', '383', '378', '179', '40', '101', '322', '41']
['162', '198', '479', '62', '434', '292', '491', '409', '258', '496', '240', '16', '199', '84', '166', '427', '98', '17', '343', '65']
['321', '493', '264', '165', '223', '208', '113', '270', '145', '497', '284', '173', '99', '449', '221', '271', '376', '345', '316', '170']
['441', '365', '327', '450', '163', '277', '395', '357', '184', '244', '197', '64', '401', '290', '254', '259', '188', '218', '369', '158']
['110', '300', '164', '192', '452', '11', '386', '83', '367', '55', '183', '47', '203', '225', '296', '60', '90', '256', '35', '320']
['331', '470', '288', '325', '237', '190', '317', '112', '483', '213', '206', '135', '480', '82', '161', '9', '485', '266', '107', '134']
['333', '127', '464', '457', '222', '456', '147', '360', '78', '461', '278', '359', '23', '146', '133', '72', '416', '219', '115', '467']
['81', '346', '228', '455', '209', '226', '79', '283', '352', '494', '136', '445', '291', '50', '116', '104', '53', '422', '353', '469']
['391', '380', '88', '402', '12', '56', '436', '233', '24', '38', '405', '443', '478', '475', '342', '472', '28', '200', '460', '248']
['75', '202', '338', '465', '61', '444', '368', '143', '154', '489', '105', '253', '415', '251', '216', '102', '385', '29', '432', '121']
['372', '93', '374', '120', '492', '144', '234', '235', '286', '231', '332', '37', '241', '137', '175', '111', '95', '195', '487', '413']
['330', '307', '310', '250', '43', '466', '424', '59', '426', '8', '442', '167', '362', '499', '404', '373', '350', '302', '453', '176']
['227', '381', '77', '334', '126', '193', '326', '403', '433', '21', '398', '217', '459', '308', '22', '207', '484', '482', '36', '276']
['293', '212', '214', '230', '329', '34', '139', '363', '148', '187', '26', '371', '91', '396', '69', '242', '160', '57', '100', '275']
['468', '488', '51', '20', '201', '313', '262', '14', '490', '123', '273', '172', '70', '315', '255', '473', '129', '58', '306', '481']
['335', '420', '30', '364', '301', '314', '337', '437', '138', '125', '339', '239', '336', '247', '361', '440', '0', '211', '157', '246']
['18', '131', '377', '142', '498', '85', '249', '394', '106', '232', '25', '451', '229', '149', '32', '260', '279', '355', '274', '194']
['423', '447', '438', '351', '285', '73', '387', '435', '414', '54', '39', '348', '15', '10', '408', '448', '182', '156', '205', '97']
['476', '49', '118', '324', '418', '238', '319', '3', '48', '462', '399', '446', '486', '196', '5', '66', '243', '155', '71', '19']
['109', '282', '454', '169', '33', '178', '210', '140', '269', '168', '431', '294', '397', '6', '477', '4', '340', '400', '2', '128']
['68', '311', '27', '108', '379', '86', '305', '412', '224', '103', '390', '295', '185', '384', '312', '215', '181', '370', '407', '382']
['272', '474', '341', '119', '358', '74', '141', '152', '495', '245', '67', '428', '429', '289', '153', '287', '366', '463', '299', '347']
['1', '42', '439', '425', '236', '411', '31', '421', '96', '44', '52', '94', '89', '328', '303', '130', '406', '132', '7', '392']
