['268', '153', '211', '260', '291', '238', '69', '51', '226', '85']
['88', '224', '26', '118', '109', '124', '3', '97', '76', '70']
['168', '187', '244', '225', '90', '154', '128', '270', '165', '176']
['103', '71', '74', '126', '35', '200', '19', '8', '66', '117']
['241', '199', '269', '36', '144', '186', '281', '233', '151', '127']
['63', '43', '239', '99', '148', '232', '284', '62', '110', '273']
['13', '11', '108', '6', '104', '83', '10', '23', '138', '228']
['49', '130', '180', '267', '87', '78', '258', '190', '21', '257']
['101', '146', '185', '166', '156', '17', '2', '195', '140', '18']
['123', '44', '32', '59', '279', '202', '163', '289', '86', '120']
['46', '204', '177', '29', '106', '139', '262', '295', '94', '129']
['67', '250', '189', '287', '191', '15', '227', '147', '142', '174']
['4', '234', '222', '259', '194', '263', '278', '264', '220', '95']
['276', '79', '246', '14', '171', '56', '297', '52', '210', '113']
['75', '251', '122', '170', '12', '212', '274', '61', '271', '197']
['24', '5', '7', '178', '277', '261', '286', '221', '9', '252']
['292', '42', '136', '237', '296', '206', '247', '207', '121', '157']
['285', '135', '162', '272', '34', '145', '223', '100', '159', '215']
['37', '30', '182', '84', '219', '266', '68', '230', '169', '184']
['192', '231', '161', '125', '107', '203', '111', '293', '1', '198']
['16', '255', '149', '196', '137', '288', '275', '22', '133', '102']
['235', '65', '98', '214', '242', '245', '173', '96', '209', '208']
['265', '188', '282', '64', '141', '253', '28', '91', '81', '72']
['193', '50', '175', '134', '115', '290', '213', '248', '47', '27']
['92', '60', '48', '183', '55', '54', '179', '38', '33', '167']
['31', '164', '132', '57', '114', '89', '41', '40', '236', '20']
['112', '256', '45', '249', '58', '218', '25', '158', '283', '217']
['119', '280', '205', '229', '143', '240', '82', '116', '216', '53']
['300', '181', '201', '298', '93', '294', '80', '152', '39', '77']
['299', '172', '105', '254', '150', '160', '155', '73', '131', '243']
