['62', '396', '368', '382', '404', '414', '323', '441', '435', '406', '339', '353']
['457', '70', '57', '60', '144', '141', '115', '145', '28', '106', '4', '73']
['407', '86', '42', '26', '87', '45', '143', '89', '13', '51', '61', '36']
['329', '50', '105', '6', '103', '100', '43', '150', '117', '95', '32', '99']
['347', '59', '37', '96', '138', '137', '80', '132', '54', '94', '75', '34']
['438', '79', '148', '15', '129', '16', '93', '155', '66', '23', '74', '5']
['314', '48', '255', '262', '212', '310', '160', '175', '295', '189', '265', '306']
['338', '220', '266', '198', '228', '165', '242', '218', '221', '159', '290', '203']
['179', '85', '55', '149', '152', '33', '65', '1', '0', '130', '39', '276']
['194', '24', '64', '20', '134', '121', '82', '108', '104', '88', '27', '114']
['183', '211', '263', '246', '214', '259', '253', '277', '187', '274', '196', '177']
['272', '229', '299', '199', '225', '172', '184', '224', '173', '186', '282', '456']
['280', '201', '83', '19', '63', '92', '11', '107', '35', '90', '97', '136']
['191', '72', '116', '77', '46', '58', '98', '110', '30', '56', '78', '133']
['273', '17', '154', '41', '71', '171', '287', '237', '288', '247', '302', '250']
['267', '275', '309', '158', '157', '146', '8', '123', '147', '3', '118', '125']
['284', '293', '209', '197', '297', '303', '283', '400', '109', '52', '233', '321']
['270', '29', '127', '139', '120', '124', '38', '68', '142', '122', '113', '40']
['243', '307', '261', '292', '245', '193', '205', '291', '235', '281', '163', '188']
['222', '341', '318', '333', '324', '395', '355', '424', '448', '421', '322', '369']
['305', '434', '185', '269', '174', '202', '340', '386', '453', '352', '354', '319']
['264', '343', '455', '315', '328', '238', '164', '206', '298', '210', '182', '168']
['240', '301', '294', '215', '251', '244', '300', '248', '258', '271', '227', '257']
['289', '213', '190', '285', '268', '236', '156', '252', '249', '286', '166', '311']
['296', '170', '239', '200', '278', '162', '231', '304', '230', '167', '161', '232']
['195', '219', '308', '373', '226', '169', '260', '192', '176', '241', '217', '279']
['459', '207', '256', '180', '254', '234', '379', '337', '367', '394', '331', '317']
['216', '431', '422', '335', '393', '437', '384', '366', '452', '358', '383', '360']
['320', '428', '389', '419', '351', '417', '336', '429', '405', '413', '449', '442']
['463', '436', '401', '464', '327', '349', '356', '402', '420', '399', '361', '445']
['397', '334', '454', '432', '427', '447', '444', '430', '418', '387', '370', '345']
['391', '385', '380', '465', '381', '346', '330', '312', '392', '462', '398', '440']
['375', '326', '423', '344', '461', '357', '348', '415', '450', '325', '439', '350']
['313', '460', '446', '362', '388', '451', '467', '443', '426', '374', '332', '416']
['378', '376', '363', '458', '316', '411', '390', '412', '365', '433', '377', '403']
['409', '410', '408', '466', '371', '208', '204', '181', '9', '153', '10', '140']
['372', '49', '131', '47', '76', '81', '14', '12', '119', '111', '128', '101']
['359', '21', '53', '102', '31', '135', '18', '22', '69', '7', '112', '126']
['364', '342', '425', '91', '25', '2', '178', '223', '151', '67', '44', '84']
