['235', '22', '24', '454', '32']
['141', '316', '320', '324', '258']
['255', '417', '416', '311', '412']
['140', '133', '357', '73', '419']
['15', '358', '253', '389', '199']
['151', '262', '247', '251', '359']
['442', '222', '372', '386', '370']
['322', '339', '345', '346', '378']
['238', '436', '460', '156', '368']
['206', '484', '111', '29', '439']
['445', '36', '106', '446', '108']
['203', '14', '35', '96', '448']
['225', '472', '86', '49', '48']
['232', '117', '163', '287', '470']
['38', '70', '462', '468', '62']
['371', '435', '1', '433', '27']
['198', '285', '123', '125', '7']
['158', '210', '399', '391', '159']
['401', '20', '271', '432', '120']
['150', '413', '387', '56', '264']
['148', '464', '379', '404', '254']
['81', '26', '213', '85', '296']
['82', '6', '256', '9', '76']
['418', '492', '209', '173', '0']
['127', '90', '28', '485', '300']
['426', '54', '471', '331', '333']
['430', '414', '94', '181', '293']
['110', '476', '315', '284', '183']
['180', '313', '265', '74', '105']
['257', '218', '458', '146', '75']
['217', '10', '292', '459', '365']
['486', '66', '39', '131', '157']
['19', '361', '298', '116', '252']
['286', '101', '383', '208', '226']
['270', '168', '437', '196', '200']
['326', '31', '496', '103', '397']
['329', '171', '441', '187', '259']
['186', '272', '277', '176', '328']
['469', '395', '8', '434', '403']
['390', '114', '118', '188', '377']
['30', '491', '489', '214', '161']
['396', '308', '424', '59', '428']
['155', '310', '25', '42', '334']
['409', '461', '204', '80', '344']
['332', '37', '60', '11', '164']
['12', '336', '52', '475', '481']
['465', '452', '249', '275', '307']
['190', '18', '294', '295', '279']
['138', '242', '33', '288', '34']
['305', '482', '453', '64', '57']
['89', '71', '219', '463', '149']
['124', '278', '276', '170', '244']
['122', '169', '341', '23', '245']
['2', '280', '490', '21', '340']
['314', '153', '350', '438', '17']
['330', '443', '297', '113', '13']
['192', '393', '343', '354', '301']
['447', '497', '309', '5', '304']
['367', '498', '351', '126', '104']
['44', '421', '425', '269', '423']
['338', '77', '450', '274', '273']
['51', '457', '411', '79', '98']
['195', '408', '92', '130', '422']
['487', '364', '229', '398', '455']
['299', '282', '362', '363', '237']
['302', '91', '348', '261', '246']
['268', '493', '327', '16', '290']
['303', '366', '312', '495', '494']
['420', '55', '58', '384', '250']
['132', '97', '177', '185', '53']
['194', '95', '211', '50', '473']
['360', '69', '72', '4', '477']
['356', '40', '41', '65', '3']
['121', '99', '400', '260', '347']
['323', '381', '154', '467', '202']
['431', '321', '166', '215', '83']
['355', '248', '107', '427', '407']
['266', '405', '179', '243', '129']
['306', '162', '165', '172', '115']
['240', '440', '119', '147', '152']
['342', '137', '139', '143', '145']
['144', '429', '182', '112', '128']
['193', '325', '267', '236', '224']
['337', '100', '488', '93', '234']
['201', '456', '410', '231', '233']
['207', '87', '228', '135', '84']
['184', '212', '88', '220', '197']
['392', '382', '385', '499', '205']
['289', '374', '349', '466', '380']
['175', '479', '483', '353', '352']
['216', '444', '402', '474', '388']
['335', '451', '102', '191', '319']
['223', '478', '375', '394', '45']
['283', '230', '46', '47', '178']
['373', '174', '68', '376', '43']
['227', '241', '239', '480', '78']
['281', '134', '160', '67', '221']
['415', '318', '406', '63', '189']
['263', '142', '369', '109', '136']
['317', '449', '167', '61', '291']
