['245', '290', '102', '164', '294', '5', '182', '123', '67', '69', '116', '170', '309', '204', '122', '97', '211', '396', '72', '87']
['193', '9', '297', '111', '185', '41', '50', '390', '6', '399', '201', '222', '183', '279', '376', '180', '268', '56', '73', '81']
['32', '38', '326', '203', '270', '271', '230', '59', '58', '8', '334', '301', '235', '63', '209', '293', '36', '360', '318', '129']
['368', '121', '291', '383', '202', '94', '362', '254', '154', '137', '169', '75', '24', '172', '60', '229', '287', '31', '299', '152']
['298', '71', '300', '215', '175', '168', '65', '148', '269', '292', '130', '248', '244', '386', '385', '118', '369', '17', '84', '345']
['47', '143', '159', '285', '378', '104', '371', '349', '227', '325', '20', '351', '155', '125', '380', '315', '295', '305', '34', '145']
['365', '191', '52', '150', '27', '374', '274', '40', '93', '382', '226', '208', '179', '178', '101', '196', '264', '55', '377', '381']
['106', '134', '187', '199', '253', '370', '353', '13', '14', '7', '88', '339', '223', '398', '236', '46', '30', '29', '246', '22']
['207', '355', '114', '173', '132', '278', '303', '388', '0', '68', '120', '393', '330', '356', '167', '337', '324', '76', '45', '105']
['239', '265', '277', '348', '62', '48', '232', '91', '200', '96', '310', '373', '267', '331', '80', '108', '12', '392', '350', '395']
['100', '2', '389', '252', '284', '313', '142', '119', '171', '263', '39', '146', '358', '306', '338', '366', '282', '217', '243', '343']
['289', '225', '126', '184', '198', '214', '212', '18', '112', '86', '314', '384', '160', '149', '320', '35', '224', '82', '78', '113']
['177', '139', '110', '124', '194', '327', '33', '357', '323', '141', '133', '189', '328', '109', '336', '219', '95', '192', '216', '347']
['92', '57', '28', '379', '16', '281', '283', '364', '332', '321', '340', '375', '144', '367', '335', '363', '26', '346', '304', '166']
['197', '231', '190', '288', '83', '250', '23', '220', '210', '1', '280', '19', '138', '157', '307', '74', '242', '54', '165', '286']
['85', '311', '241', '308', '90', '89', '42', '10', '259', '317', '322', '359', '64', '135', '153', '176', '25', '131', '117', '319']
['312', '51', '181', '249', '354', '316', '261', '262', '61', '77', '79', '11', '3', '15', '296', '255', '256', '237', '275', '156']
['206', '333', '272', '174', '195', '341', '266', '387', '234', '221', '140', '342', '161', '238', '218', '213', '247', '273', '302', '136']
['329', '188', '260', '127', '99', '158', '163', '128', '107', '98', '37', '49', '44', '43', '344', '233', '21', '4', '205', '70']
['391', '66', '228', '53', '257', '394', '186', '115', '103', '276', '397', '162', '151', '361', '147', '352', '251', '240', '258', '372']
