['247', '25', '10', '58', '40']
['59', '163', '164', '165', '258']
['315', '61', '60', '54', '71']
['489', '67', '66', '64', '62']
['319', '74', '70', '69', '68']
['217', '77', '76', '75', '52']
['334', '84', '83', '80', '78']
['396', '53', '87', '86', '85']
['214', '1', '19', '89', '51']
['352', '6', '5', '4', '2']
['359', '17', '9', '8', '7']
['48', '22', '47', '21', '18']
['385', '34', '33', '32', '24']
['119', '39', '37', '36', '35']
['133', '162', '90', '88', '46']
['472', '135', '134', '130', '145']
['38', '140', '138', '137', '136']
['444', '147', '143', '142', '141']
['150', '152', '151', '149', '128']
['160', '156', '155', '154', '153']
['144', '129', '161', '158', '157']
['196', '92', '107', '91', '127']
['41', '257', '256', '255', '254']
['478', '253', '252', '250', '498']
['81', '246', '259', '245', '243']
['411', '242', '240', '237', '236']
['115', '195', '291', '499']
['103', '202', '199', '198', '197']
['180', '207', '206', '204', '203']
['272', '212', '211', '210', '209']
['3', '219', '218', '216', '213']
['20', '223', '222', '221', '220']
['421', '193', '194', '225', '224']
['369', '168', '167', '178', '192']
['63', '172', '171', '170', '169']
['26', '177', '176', '175', '174']
['23']
['82', '182', '181', '191', '179']
['79', '189', '188', '187', '186']
['459', '228', '227', '226', '190']
['139', '265', '264', '263', '275']
['251', '270', '269', '268', '267']
['159', '276', '274', '273', '271']
['456', '279', '278', '277', '261']
['372', '284', '282', '281', '280']
['116', '262', '289', '287', '285']
['131', '230', '244', '229', '260']
['413', '235', '234', '233', '231']
['283', '14', '28', '30', '45']
['364', '13', '185', '184', '183']
['93', '11', '15', '57', '42']
['441', '383', '382', '381', '380']
['288', '447', '446', '445', '443']
['132', '465', '451', '449', '448']
['208', '455', '454', '453', '452']
['56', '461', '460', '458', '457']
['31', '409', '379', '464', '462']
['148', '326', '325', '323', '377']
['122', '330', '376', '328', '327']
['312', '335', '333', '332', '331']
['98', '339', '338', '337', '336']
['146', '343', '342', '341', '340']
['118', '324', '347', '346', '344']
['121', '295', '320', '350', '322']
['354', '299', '298', '297', '296']
['248', '303', '302', '301', '300']
['239', '308', '307', '306', '304']
['50', '313', '311', '310', '309']
['355', '318', '317', '316', '314']
['105', '360', '356', '329', '348']
['266', '373', '368', '371', '366']
['215', '375', '374', '353', '367']
['358', '370', '361', '363', '351']
['365', '442', '440', '439', '438']
['73', '450', '466', '467', '468']
['65', '497', '496', '495', '494']
['205', '493', '492', '490', '488']
['99', '109', '126', '108', '106']
['345', '113', '112', '111', '110']
['481', '124', '123', '120', '117']
['357', '292', '249', '290', '125']
['232', '410', '293', '408', '435']
['349', '416', '415', '414', '412']
['491', '420', '419', '418', '417']
['286', '425', '424', '423', '422']
['16', '429', '428', '427', '426']
['241', '433', '432', '431', '430']
['305', '104', '102', '101', '100']
['321', '391', '405', '406', '407']
['173', '388', '387', '386', '384']
['294', '404', '392', '390', '389']
['72', '397', '395', '394', '393']
['201', '401', '400', '399', '398']
['200', '436', '434', '403', '402']
['238', '470', '469', '437', '378']
['362', '475', '474', '473', '471']
['487', '480', '479', '477', '476']
['463', '29', '44', '483', '482']
['114', '0', '486', '485', '484']
['166', '97', '96', '95', '94']
['49', '12', '27', '43', '55']
