['227', '156', '47', '60', '275', '36', '391', '388', '144', '91']
['222', '258', '224', '51', '128', '94', '339', '392', '164']
['341', '179', '173', '310', '175', '8', '297', '135', '113', '353']
['111', '44', '213', '246', '269', '356', '18', '81', '198', '148']
['147', '302', '88', '288', '37', '25', '87', '381', '192', '219']
['214', '370', '366', '191', '328', '73', '318', '124', '399', '41']
['256', '110', '257', '378', '308', '350', '317', '331', '98', '247']
['382', '386', '221', '196', '291', '58', '127', '320', '126', '200']
['236', '82', '385', '132', '16', '143', '289', '203', '211', '255']
['311', '307', '68', '324', '85', '220', '372', '305', '228', '357']
['264', '54', '216', '202', '354', '383', '323', '61', '70', '335']
['376', '226', '11', '145', '312', '240']
['183', '280', '35', '284', '348', '74', '64', '182', '194', '277']
['217', '314', '46', '169', '321', '374', '92', '150', '346', '139']
['218', '72', '373', '163', '187', '254', '281', '245', '86', '59']
['28', '309', '99', '301', '14', '34', '120', '160', '170', '333']
['50', '231', '279', '20', '244', '2', '43', '177', '384', '6']
['188', '131', '313', '112', '55', '40', '248', '159', '362', '19']
['380', '180', '225', '201', '286', '234', '338', '80', '394', '140']
['294', '3', '161', '276', '195', '24', '48', '326', '282', '52']
['119', '251', '262', '125', '153', '134', '298', '129', '123', '199']
['66', '304', '138', '22', '117', '9', '172', '178', '273', '95']
['367', '283', '204', '252', '206', '133', '223', '315', '56', '397']
['398', '272', '109', '71', '39', '261', '377', '334', '32', '266']
['115', '300', '250', '57', '38', '210', '329', '152', '292', '90']
['30', '325', '239', '45', '42', '184', '319', '369', '166', '78']
['108', '31', '151', '189', '121', '118', '62', '340', '290', '361']
['21', '89', '17', '303', '278', '274', '215', '379', '268', '53']
['181', '389', '193', '67', '344', '358', '259', '364', '167', '100']
['212', '114', '232', '365', '249', '97', '157', '337', '155', '242']
['102', '174', '368', '185', '207', '387', '349', '293', '287', '26']
['235', '197', '342', '241', '79', '4', '330', '237']
['27', '13', '77', '93', '243', '136', '363', '345', '253', '271']
['233', '393', '355', '105', '347', '149', '371', '299', '162', '141']
['176', '270', '49', '327', '15', '23', '265', '390', '375', '343']
['7', '360', '186', '190', '158', '306', '296', '165', '101', '154']
['76', '230', '106', '83', '295', '33', '322', '69', '116', '332']
['208', '75', '316', '285', '351', '168', '260', '130', '84', '263']
['1', '96', '229', '137', '12', '5', '352']
['336', '146', '103', '29', '65', '10', '142', '0', '104', '209']
['267', '63', '395', '396', '107', '238', '122', '205', '171', '359']
